,total_demand
254,574.9720000000003
255,601.9409999999999
256,596.681
257,600.9759999999999
258,623.8629999999999
259,564.8570000000002
260,551.8029999999999
261,547.0600000000001
262,525.7199999999997
263,537.6819999999999
264,481.081
265,436.43900000000036
266,437.0800000000002
267,442.07
268,435.83600000000035
269,469.70099999999985
270,488.6849999999999
271,506.178
272,580.0289999999997
273,568.8819999999997
274,574.0640000000002
275,574.219
276,535.331
277,573.1419999999996
278,521.3649999999998
279,549.7550000000001
280,563.9809999999998
281,597.9029999999997
282,620.2130000000003
283,614.0749999999998
284,610.9710000000005
285,601.716
286,558.8229999999995
287,523.8140000000001
288,483.30500000000006
289,436.7729999999998
290,441.8130000000003
291,431.5700000000002
292,439.1579999999998
293,452.7420000000001
294,444.292
295,495.78000000000014
296,578.6139999999998
297,585.4320000000002
298,592.8899999999999
299,626.3749999999997
300,605.0360000000004
301,580.4110000000004
302,560.6039999999998
303,555.3129999999999
304,555.5790000000002
305,612.764
306,636.4829999999997
307,627.3919999999997
308,633.0280000000001
309,583.7890000000002
310,588.5319999999997
311,586.973
312,509.598
313,470.8960000000001
314,457.17899999999975
315,439.822
316,437.96199999999965
317,467.31099999999986
318,447.3189999999999
319,510.30699999999996
320,567.1349999999998
321,577.1619999999998
322,590.6830000000003
323,566.9840000000002
324,584.5240000000001
325,582.0970000000001
326,563.3500000000001
327,549.8570000000002
328,557.8280000000003
329,593.5700000000003
330,609.2310000000001
331,626.33
332,641.0530000000001
333,595.4880000000002
334,589.1970000000002
335,577.9789999999999
336,547.7480000000002
337,518.6999999999996
338,504.0040000000002
339,471.526
340,477.98400000000004
341,494.39399999999966
342,503.25500000000045
343,583.5539999999996
344,613.504
345,623.396
346,615.5670000000001
347,616.3680000000003
348,596.1499999999996
349,594.2900000000001
350,575.4420000000002
351,557.0899999999999
352,567.4520000000001
353,609.284
354,623.0780000000001
355,654.2639999999999
356,641.0429999999997
357,609.3130000000001
358,565.9209999999999
359,549.4480000000002
360,529.3190000000003
361,490.9739999999997
362,471.41800000000006
363,460.23300000000023
364,449.6069999999998
365,474.59600000000023
366,497.39099999999996
367,492.762
368,493.45599999999996
369,548.3
370,609.951
371,625.8980000000001
372,622.7120000000001
373,615.098
374,574.2250000000001
375,556.547
376,593.8169999999997
377,615.7580000000003
378,602.5360000000003
379,628.1780000000002
380,645.0689999999997
381,607.553
382,588.4969999999998
383,569.3570000000001
384,534.997
385,508.9030000000003
386,491.43699999999967
387,466.7610000000001
388,444.5280000000002
389,489.09899999999993
390,473.3560000000004
391,482.4390000000001
392,496.29399999999987
393,568.5230000000001
394,590.2970000000001
395,619.8559999999998
396,652.4289999999999
397,636.0339999999999
398,616.165
399,604.4190000000001
400,600.1639999999998
401,652.268
402,691.7410000000002
403,713.798
404,655.8750000000001
405,655.1540000000001
406,633.2180000000004
407,608.2390000000001
408,548.7370000000001
409,518.6690000000004
410,513.4159999999998
411,493.58799999999974
412,472.86399999999975
413,490.40000000000043
414,487.1949999999997
415,551.394
416,607.7659999999996
417,600.0210000000001
418,618.1740000000002
419,585.694
420,571.0130000000003
421,551.1519999999998
422,549.1219999999998
423,562.82
424,572.3020000000002
425,607.1739999999999
426,594.9159999999997
427,595.5509999999995
428,607.1269999999998
429,587.3680000000004
430,531.482
431,548.2540000000002
432,508.6659999999995
433,486.27900000000017
434,441.01200000000006
435,449.6799999999999
436,424.6330000000002
437,450.79699999999997
438,449.7119999999999
439,506.51499999999976
440,547.1749999999998
441,563.9519999999999
442,549.3649999999998
443,524.1639999999998
