,resistive_heating
298,452.4849670326227
299,482.4688976428206
300,468.5354825877187
301,446.8514948497898
302,424.0379144514526
303,400.423641304514
304,385.8810252780049
305,417.75011228568275
306,433.21209997128204
307,427.9819792782511
308,429.6126082786373
309,407.3882025432946
310,417.50338781567416
311,443.91196862304764
312,419.60388043270694
313,404.87289253787213
314,398.59486252455537
315,386.39508318481546
316,382.65653751185494
317,399.2906000107219
318,365.08329645569876
319,401.2622347265022
320,429.9740957559061
321,442.5568164381814
322,453.34172619229946
323,437.49370350477506
324,455.69758409377204
325,453.0818881248518
326,432.5496944197887
327,404.1263740984275
328,396.43538171792886
329,412.70646568616075
330,422.06680571649144
331,434.96738555073887
332,445.3493015536698
333,426.0174558395842
334,429.26281115038637
335,448.28840431227883
336,461.17830144131875
337,453.4456055503249
338,446.3289592674458
339,420.948747304815
340,424.6108498773096
341,430.370258019146
342,420.1397477179767
343,471.6041337694971
344,480.59240408135213
345,493.5276310418627
346,486.6488943560779
347,487.2810542012911
348,473.5187801211973
349,471.5687830271627
350,451.67531931993005
351,418.82304030079797
352,414.83957157931457
353,437.4543071566642
354,450.0887893162897
355,472.96133540944373
356,462.1813917453198
357,449.18499313120043
358,423.3876165982359
359,435.06164284797546
360,438.27916385726434
361,424.6234614590243
362,416.00877598265015
363,410.77070390730825
364,402.85173858609573
365,424.5365282574159
366,447.1655743203961
367,427.25783834072337
368,398.99817547908515
369,416.9882590219936
370,453.79921111616414
371,464.9474833555556
372,462.7331548584264
373,462.54399451118917
374,429.79560007352404
375,414.9984866529882
376,443.0589763982761
377,454.3195675885608
378,446.0855645111837
379,462.47673662426865
380,471.9687970478963
381,455.12092345544596
382,448.8384915938037
383,457.0044864720153
384,441.65490932445255
385,438.7415355300611
386,431.44236491660394
387,414.57809090234826
388,396.04778393895043
389,434.3051759578565
390,423.1312528806017
391,414.6079535968667
392,395.12192581674583
393,426.3579366918008
394,435.30482076530063
395,455.60767202874337
396,481.3975728088919
397,473.0770196451709
398,456.2616391295237
399,444.1967095061624
400,439.03047044302406
401,469.12371006627336
402,499.1142515622077
403,510.33445171745336
404,465.519086015712
405,474.5797796115092
406,465.18647925625174
407,474.59310461881137
408,456.85344233278227
409,449.6882212745037
410,450.10886249362244
411,435.3826191778862
412,413.7430250805359
413,418.8560888934655
414,399.82726723751153
415,431.245438130431
416,460.0332827562776
417,458.4058186754912
418,470.9941678535036
419,448.66875835185857
420,439.9061158073802
421,424.1488895681676
422,415.9813700219137
423,407.128602905533
424,397.67297380944655
425,410.67133093976264
426,400.191301893403
427,400.31320163303866
428,405.7445175413569
429,401.2575802060141
430,368.7540461148751
431,407.52315109625766
432,412.89799452990314
433,412.33440244348304
434,379.8327145323766
435,389.4094274012391
436,365.31056626674234
437,377.7189845969871
438,361.1047981449267
439,386.9765096289845
440,402.69781714686405
441,420.2542310253004
442,407.90220770982137
443,391.1319603996047
444,380.4812147129869
445,383.8922565187514
446,361.20986922090657
447,357.5912020442765
448,343.4349853153282
449,361.6846037820092
450,381.02293230971173
451,392.8783831327916
452,360.80373289534765
453,348.3604773949248
454,353.6942591899967
455,379.5410232834297
456,407.95493631175196
457,402.40773610078725
458,385.8838535754968
459,365.7949549072557
460,350.2820163147405
461,373.21573354780156
462,343.5844532414453
463,362.18684751793757
464,385.80097157792613
465,388.1178666837778
466,384.66159218015474
467,392.1256271302151
468,375.35618070491313
469,372.3433986089234
470,371.53705162658196
471,350.01591569641766
472,329.3212740669912
473,343.5430623918697
474,373.997127640318
475,350.5153696908501
476,333.176671927475
477,325.6478328520611
478,341.23188177949356
479,352.8248324551254
480,342.14543033297997
481,326.7277080991769
482,315.4670214417092
483,305.18067004799036
484,301.2414955578825
485,318.0646080611809
486,296.87574473936536
487,303.1016078196244
488,327.8726564850891
489,322.91854647027395
490,315.3689281880055
491,322.76482409841947
492,309.2564196947125
493,316.89461470739576
494,327.64798301746214
495,294.1890413577572
496,276.2126084448364
497,323.4155706283323
498,310.83256069947845
499,348.7885106797997
500,331.4689171706299
501,308.71024626318126
502,327.6980457894594
503,316.658765382805
504,312.6906215032139
505,301.49986524969785
506,295.9589969110272
507,278.0655198974915
508,277.6361517399583
509,285.13776395531414
510,277.46249670645506
511,306.12871278126465
512,317.75399650726087
513,319.79864232315435
514,335.13178917082365
515,347.6419352480029
516,318.8727512138199
517,302.9259310561167
518,311.6339619390507
519,301.4951633113185
520,303.2336331547457
521,298.81565763305736
522,282.8209085229972
523,311.18205753385104
524,293.7858186304896
525,287.08514091336576
526,285.0547500255224
527,298.6652932764418
528,271.34300123566004
529,262.79335657697135
530,259.09366657391445
531,263.8358138687891
532,254.50274519100685
533,263.6296624121728
534,262.1756416997972
535,266.4264818153269
536,253.76322082908854
537,264.77639231192404
538,271.6171161915109
539,290.2756884214123
540,297.379202666299
541,307.57471439487625
542,296.8733495953317
543,309.6623903572289
544,286.97232311299825
545,304.8944832688159
546,323.5764253679857
547,310.29371168427014
548,294.9913670976542
549,287.81535272374737
550,277.7464285600346
551,289.70321315349645
552,293.0883221914419
553,280.7438044479817
554,272.36669160400004
555,283.99865783423627
556,276.7744553716574
557,300.24066150768795
558,295.7590709093973
559,297.07881360426387
560,270.3698715781201
561,265.99885951607916
562,295.8635129774754
563,335.643840840132
564,347.68121287856485
565,341.81209979848467
566,356.8986406662157
567,346.56389359235567
568,332.5976644403758
569,362.407908376797
570,369.4852868796533
571,357.0025385376175
572,339.4970597765613
573,350.5355382211304
574,340.63437566503757
575,357.59399251315557
576,328.8012062305902
577,333.1661654696659
578,318.47967423639255
579,322.2290921686207
580,322.2024816341803
581,334.44087495824533
582,310.8187994992783
583,348.6583301312698
584,348.21191731932737
585,368.8479357651033
586,402.08689609318276
587,394.5399010116745
588,391.11650450735254
589,378.0789703438992
590,385.08085067906285
591,364.52327292808184
592,352.8145929046332
593,364.854278959399
594,379.8651345387804
595,404.31056860346854
596,398.64420079837134
597,374.1304385297457
598,362.9725067042871
599,363.9343449583807
600,352.61908128315054
601,353.26932241523843
602,335.58887920917687
603,334.8347338038954
604,330.42540387219793
605,349.8199233845731
606,343.1594702801986
607,377.81353899524487
608,417.3800807288979
609,443.8157855841443
610,435.6911283695601
611,440.7071928662542
612,439.85840301334326
613,415.3809173806006
