,resistive_heating
225,185.8562499332452
226,195.85253354515106
227,198.3828746637457
228,216.8162377128802
229,206.4924403538341
230,220.6001874696924
231,204.2330229814492
232,215.49377249928037
233,242.14405686941953
234,250.92858482047063
235,239.0835044008488
236,238.48200327743953
237,237.44492582274404
238,240.18017014360504
239,243.67326719314406
240,234.43985680640216
241,232.02864809922875
242,216.2585252466766
243,215.77123403328824
244,221.201235558309
245,221.2110376938163
246,207.19099919651256
247,221.91390857960982
248,229.3586176045518
249,232.48987478740787
250,234.13289349487297
251,243.99805410235226
252,237.0128715555019
253,226.79965370782242
254,228.76670700740593
255,230.5875147760333
256,214.77106113494284
257,216.7622351354083
258,225.91702169687545
259,209.4657726312524
260,201.16596944112334
261,214.8791877053423
262,208.88271688974058
263,224.14945983622553
264,216.57207389257937
265,204.3079600332793
266,209.99739315923645
267,214.7103193355185
268,212.64410201011367
269,215.99012557819597
270,219.3987403825277
271,217.70125975432285
272,236.0769909251688
273,243.74234973578908
274,238.97753627680947
275,239.38144659877946
276,229.20287607565132
277,242.124506555933
278,217.47092410911972
279,223.5686698465496
280,214.5491599464647
281,218.96670786517228
282,229.27818451770815
283,226.67078455663125
284,224.01845108700488
285,230.47783375996048
286,223.3939186446822
287,221.90774147218664
288,221.18487477072466
289,206.28040000424133
290,208.5494943364671
291,205.97155647573854
292,208.81958976905705
293,205.3101041895003
294,196.01383205690638
295,210.90418300048648
296,236.54498653741416
297,238.76420967794965
298,238.02723271116795
299,249.67313242854138
300,243.4903501337886
301,233.45053753090215
302,221.57656359299892
303,209.43460747109947
304,201.52626233172063
305,218.4127448046769
306,218.08416228124239
307,227.8294234548162
308,220.4677576383523
309,215.09350062617108
310,222.72417557399572
311,240.1202797818584
312,225.49158252043443
313,215.96097414503072
314,214.15025854951145
315,208.58348901002717
316,208.7923957680381
317,213.03890923848968
318,196.4422329758821
319,219.39487921189595
320,227.4370266936136
321,237.14692722605955
322,239.8355421165318
323,233.1578661267886
324,241.72379642071624
325,241.31666161541233
326,228.46509845074442
327,214.3227155796624
328,208.42488427309638
329,216.41688204406682
330,216.35745542310494
331,230.80985854587547
332,226.3811612587057
333,223.71631555290102
334,226.51366340475317
335,244.79975522178273
336,251.5534306589303
337,242.53628746363734
338,237.49045019760686
339,230.57501119273311
340,230.20892344948578
341,231.32897780287595
342,224.41753844728444
343,258.1009250642441
344,257.67606672335444
345,265.1978886377878
346,270.4531217459236
347,265.12569463478576
348,249.80081207388164
349,246.23573424985392
350,231.81353610787335
351,223.51940390172683
352,220.43857070792257
353,230.67292752048326
354,237.99543361253728
355,255.16653667466346
356,244.55174063744545
357,244.67286888997447
358,230.63975173188172
359,231.2132465155122
360,228.69654733804612
361,222.24764273703832
362,217.909260693976
363,218.18395260320705
364,217.36049825724277
365,224.30159128269497
366,234.82886518314828
367,226.0442676823531
368,211.95796596919473
369,219.53952970342525
370,239.45097442533373
371,242.2263657876027
372,245.0293258924446
373,246.76210745019642
374,225.94104024881352
375,217.7408859754784
376,231.5304974296227
377,235.48412402439217
378,238.05093516857076
379,247.70347283096808
380,250.15287073214046
381,241.32457879123544
382,235.0796815598736
383,239.1977583423411
384,231.24612179421518
385,231.27919462806236
386,227.595417430708
387,216.17757743895052
388,209.06572830789503
389,225.57815017247677
390,221.77497347521492
391,220.57886686297562
392,208.2538370245138
393,219.15970228293
394,227.98350462983674
395,249.59579782868772
396,258.1356260941555
397,250.76307662899595
398,234.63578062526287
399,236.02333786519097
400,233.56037405620276
401,251.7178483174351
402,261.6320270953499
403,268.1522796186037
404,247.00831490012723
405,252.0266537420046
406,248.39980483848575
407,250.8122915444542
408,245.91394517016448
409,245.89647133037624
410,245.04178289264598
411,238.56972198344124
412,227.54389995109307
413,221.83611315327587
414,215.5431123949199
415,234.45954700384624
416,244.31570140774437
417,242.39472909592308
418,253.35750550631295
419,242.45248514947934
420,227.809654633371
421,219.91874344041793
422,220.2042841297002
423,217.5584972974317
424,210.12988424335444
425,219.7972070628355
426,209.0124319915079
427,209.87766964210485
428,216.19404727169695
429,214.81087494322946
430,201.52081273065897
431,219.48440381433534
432,219.54868224657065
433,221.81751733959268
434,200.27243662757348
435,204.69615527598668
436,197.3055497627097
437,199.72959311592678
438,190.96458721055177
439,207.2030453910228
440,215.48286478185236
441,220.07167763269717
442,219.0842436213213
443,209.64045488733956
444,197.76249653743244
445,199.17016615752738
446,188.23053052818142
447,187.25141055016144
448,179.50078038727935
449,184.99455627882668
450,202.4477476051702
451,207.9029315766982
452,185.46703785436253
453,180.05342771978334
454,188.48413621792255
455,202.58863017292168
456,213.50061832639992
457,208.83236119126605
458,196.03042205089702
459,188.00131166035027
460,182.67915719549364
461,192.0711314219954
462,181.3692142356097
463,195.87992897448927
464,205.0339186932195
465,203.424009245771
466,202.86037447407637
467,209.36260156270748
468,194.99585854697477
469,199.2663850912288
470,194.69881482610631
471,184.0648667930351
472,170.98867004806465
473,182.06347268514656
474,195.12496021924073
475,180.85501920847628
476,169.47479960766566
477,168.49998297334216
478,187.2245488329381
479,192.9872852774054
480,184.2057930338473
481,179.25243043817127
482,171.23941941907458
483,164.9124298521072
484,164.99783444319485
485,170.56262053461683
486,159.1643632549875
487,159.87216300969195
488,171.08596486300232
489,172.36700605899603
490,163.17005451774534
491,173.80504566152726
492,169.4420664927008
493,169.69619848201637
494,172.731763887123
495,158.34888819582451
496,146.29435586253507
497,166.99400340887553
498,160.78497209581556
499,179.85777229022423
500,171.83355591817337
501,166.19859306601757
502,179.12845459651484
503,178.15957418870715
504,175.77418916177797
505,164.451694663415
506,167.20785184407876
507,155.562981286328
508,152.01623088558893
509,155.24011293124903
510,149.7797669087331
511,168.45671701320057
512,170.01197722710418
513,168.6488546989176
514,179.96086172675487
515,196.77635402075677
516,169.57375059707508
517,160.2956561842047
518,162.42183536197845
519,161.82254483984295
520,161.9366548908933
521,162.43299526533426
522,148.92203924704575
523,162.2839516546926
524,154.9026438680932
525,151.6121100497158
526,150.35689665551084
527,158.12666859521516
528,141.18350583315137
529,140.93952651870703
530,138.06239745905748
531,141.94625595935926
532,140.47371959339736
533,144.24949672807716
534,141.51826875941103
535,146.03613670803645
536,139.8151263291261
537,144.47476625574564
538,139.43353616050825
539,153.05495355056593
540,154.9014045329677
541,160.46047616796096
542,154.34338392417274
543,157.80659632195113
544,143.60870929576987
545,159.95517700764012
546,166.55854305661336
547,164.97557305880042
548,150.8098297509248
549,150.57079289399638
550,147.2723784793169
551,156.51620985729218
552,159.82115577655915
553,150.00829185772605
554,144.6836360904249
555,147.52724227137966
556,153.84485951716994
557,160.71613109591266
558,157.26218736860832
559,158.73795136127364
560,144.25457528951102
561,141.20996933634456
562,153.1878143448974
