,total_demand
311,318.22299999999996
312,274.07500000000005
313,251.43999999999988
314,245.7469999999999
315,237.47999999999996
316,239.04700000000003
317,249.5139999999999
318,241.00899999999996
319,279.71200000000005
320,300.70699999999994
321,309.751
322,313.039
323,302.73299999999983
324,310.91100000000006
325,310.7999999999999
326,298.268
327,292.33900000000006
328,293.79800000000006
329,312.34200000000004
330,312.61999999999995
331,332.57000000000005
332,326.3230000000001
333,313.4340000000001
334,311.53900000000004
335,316.1969999999999
336,299.0980000000002
337,277.60799999999995
338,268.28900000000004
339,258.369
340,259.218
341,266.01099999999997
342,269.2390000000001
343,320.188
344,329.535
345,335.4919999999999
346,342.753
347,335.9650000000002
348,315.004
349,311.006
350,296.016
351,298.2170000000001
352,302.312
353,322.215
354,330.31600000000003
355,354.3139999999999
356,340.2340000000001
357,332.56500000000005
358,308.8519999999998
359,292.5569999999999
360,276.667
361,257.20499999999987
362,247.044
363,244.55700000000002
364,242.67799999999997
365,250.89300000000003
366,261.32800000000003
367,260.934
368,262.47200000000004
369,288.99999999999994
370,322.24799999999993
371,327.0079999999999
372,331.3389999999998
373,329.6120000000001
374,302.68599999999986
375,292.7090000000001
376,311.0760000000001
377,320.28600000000006
378,322.42499999999995
379,337.4040000000001
380,342.93699999999995
381,322.9339999999999
382,308.952
383,298.3670000000001
384,280.3690000000001
385,268.51000000000005
386,259.3790000000001
387,243.46000000000012
388,234.76000000000002
389,254.1850000000001
390,248.18199999999996
391,256.9569999999999
392,261.9630000000001
393,292.9290000000001
394,309.77000000000004
395,341.05699999999985
396,351.359
397,337.97100000000006
398,317.61399999999986
399,321.893
400,320.173
401,351.067
402,363.46299999999997
403,376.35300000000007
404,349.32300000000015
405,348.72700000000003
406,338.78900000000004
407,322.015
408,295.61299999999994
409,283.81
410,279.697
411,270.58300000000014
412,260.1889999999999
413,259.88700000000006
414,262.99600000000004
415,300.52699999999993
416,323.626
417,318.1159999999999
418,333.2769999999999
419,316.787
420,296.1360000000001
421,286.50899999999984
422,291.54600000000016
423,301.995
424,303.2940000000001
425,326.148
426,311.736
427,313.37099999999975
428,324.92499999999984
429,315.472
430,291.461
431,296.11300000000006
432,270.753
433,261.987
434,232.72500000000008
435,236.5100000000001
436,229.537
437,238.73000000000008
438,238.285
439,272.01099999999997
440,293.678
441,296.18399999999997
442,295.78999999999996
443,281.568
444,264.1410000000001
445,267.0879999999999
446,256.4040000000001
447,267.89300000000003
448,269.49300000000005
449,284.1240000000001
450,312.24899999999997
451,319.92499999999995
452,285.972
453,271.177
454,279.48299999999995
455,278.86100000000005
456,267.7750000000001
457,249.85399999999998
458,230.88299999999998
459,219.80800000000002
460,215.142
461,232.515
462,229.5869999999999
463,262.0630000000001
464,285.727
465,280.17800000000005
466,280.02500000000003
467,286.88400000000007
468,266.247
469,272.50700000000006
470,269.618
471,268.40999999999985
472,260.73100000000005
473,284.99800000000005
474,305.623
475,284.73799999999994
476,268.0450000000001
477,259.058
478,283.16200000000003
479,270.4480000000001
480,234.57800000000003
481,217.58599999999998
482,204.56100000000004
483,195.30599999999987
484,197.77400000000003
485,210.73899999999998
486,205.58099999999996
487,220.185
488,244.35000000000002
489,243.95000000000005
490,233.554
491,246.24699999999984
492,240.33700000000002
493,239.913
494,249.7370000000001
495,240.75699999999995
496,232.34199999999996
497,270.72399999999993
498,261.07500000000005
499,294.4939999999999
500,282.696
501,265.23199999999997
502,281.76099999999997
503,260.53600000000006
504,232.87400000000008
505,205.62399999999997
506,204.88800000000012
507,188.77499999999992
508,185.98699999999994
509,196.84799999999996
510,197.46200000000002
511,237.65599999999995
512,248.654
