,stes_charge_qw
318,67.81392769869115
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,3.7693230648115446
337,50.20503667422636
338,61.60486112045129
339,68.5203001253251
340,68.88638786857237
341,62.58141735270303
342,39.07453864155286
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,25.348556423043505
361,70.83674722108887
362,81.18605062408207
363,80.91135871485113
364,81.7348130608155
365,74.79372003536318
366,64.26644613490993
367,67.24299711165702
368,34.45639368534066
369,0.0
370,0.0
371,0.0
372,0.7316006297670015
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,19.34170533538122
385,54.984851003075846
386,71.49989388735017
387,82.91773387910774
388,90.02958301016318
389,73.51716114558155
390,77.32033784284332
391,68.24319547290276
392,28.57513579597861
393,0.0
394,0.0
395,49.499513489370315
396,40.959685223902625
397,48.332234689062346
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,2.9453520872799857
409,38.31940440770387
410,48.949027532234
411,60.52558933461705
412,71.55141136696494
413,61.967688053503
414,40.054686536790996
415,0.0
416,0.0
417,0.0
418,0.0
419,56.642826168578864
420,70.74111151272936
421,68.75838334124677
422,78.89102718835812
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,24.794826240092505
433,55.630496426101644
434,98.82287469048467
435,94.39915604207147
436,101.78976155534843
437,81.22564797880477
438,65.03063616805466
439,0.0
440,0.0
441,0.0
442,0.0
443,89.45485643071868
444,13.820067409611312
445,32.15748522643602
446,110.86478078987685
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,21.63269839975058
457,66.05918412952056
458,97.36830584874502
459,111.09399965770791
460,116.41615412256459
461,84.55372459094207
462,71.93389021817063
463,3.527319695929492
464,0.0
