,hp_direct_qw
202,189.98721744750574
203,216.16890090981315
204,171.35969670550455
205,126.28403506638371
206,142.49345034597349
207,149.5654422402049
208,160.31857826366075
209,128.81821767234572
210,0.0
211,0.0
212,124.33829064640005
213,151.15985133015755
214,180.57294458781539
215,203.2072751278423
216,199.67042351311008
217,193.37103190887328
218,182.96244941408648
219,177.83750517844223
220,177.63318414105302
221,184.6420995335689
222,187.2627910485228
223,186.17758863661354
224,172.9830892214886
225,185.8562499332452
226,177.19290893670407
227,198.3828746637457
228,216.8162377128802
229,206.49244035383404
230,192.92909921301774
231,149.98677136939864
232,133.5913954210273
233,86.33160824526146
234,0.0
235,0.0
236,78.85519001075068
237,103.22659156269128
238,114.39405339532169
239,177.52489552425575
240,234.4398568064023
241,232.02864809922872
242,216.25852524667664
243,215.7712340332882
244,221.20123555830898
245,221.21103769381645
246,207.19099919651262
247,215.91843126105485
248,0.0
249,0.0
250,185.92328008703225
251,184.92280059817605
252,198.772592856848
253,226.7996537078224
254,209.09011457490115
255,144.28301375551712
256,131.64637208010868
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,162.45211569594593
263,202.88400512131594
264,216.57207389257948
265,204.30796003327922
266,209.99739315923654
267,214.7103193355185
268,212.64410201011356
269,215.99012557819594
270,219.39874038252776
271,217.7012597543228
272,0.0
273,15.576684683781366
274,238.9775362768094
275,231.67905633025958
276,229.20287607565123
277,242.12450655593315
278,217.4709241091198
279,171.65805450980127
280,149.4276813565338
281,0.0
282,0.0
283,0.0
284,0.0
285,128.65188491600495
286,151.54203583430422
287,207.2884346206532
288,221.18487477072455
289,206.28040000424147
290,208.5494943364672
291,205.97155647573854
292,208.8195897690571
293,205.31010418950032
294,196.0138320569064
295,210.90418300048643
296,170.79062961605652
297,181.83008120052995
298,206.64261520681148
299,190.37038246089327
300,200.36876021683736
301,196.09237110577902
302,185.8976626065504
303,155.81703957320627
304,133.07366403346782
305,90.58260127139677
306,90.67553978524231
307,78.18839367683609
