,stes_hp_direct_qw
193,212.28897930123088
194,217.5737048321357
195,216.07900804523703
196,194.76870201054047
197,207.24241666275506
198,211.6446636281771
199,222.1467675774417
200,195.12100598700775
201,191.1850354300957
202,189.98721744750574
203,216.16890090981315
204,176.25493598980714
205,121.4843175300264
206,135.98285807655844
207,143.05484997079003
208,153.8079859942455
209,122.30762540293065
210,128.10172802334176
211,98.14206667551989
212,117.82769837698542
213,144.6492590607425
214,174.06235231840063
215,203.2072751278423
216,199.67042351311008
217,193.37103190887328
218,182.96244941408648
219,177.83750517844223
220,177.63318414105302
221,184.6420995335689
222,187.2627910485228
223,186.17758863661354
224,172.9830892214886
225,183.93328289106654
226,173.53377455571845
227,198.3828746637457
228,216.8162377128802
229,206.49244035383404
230,196.6837553419484
231,143.47617909998382
232,127.08080315161233
233,79.82101597584618
234,71.04636310571443
235,77.08465533745456
236,72.34459774133575
237,96.71599929327624
238,107.88346112590665
239,171.01430325484068
240,234.4398568064023
241,232.02864809922872
242,216.25852524667664
243,215.7712340332882
244,221.20123555830898
245,221.21103769381645
246,207.19099919651262
247,209.40783899164012
248,0.0
249,0.0
250,179.60278501017922
251,178.982499906447
252,192.8322921651186
253,226.7996537078224
254,206.38146615672545
255,137.77242148610216
256,125.13577981069385
257,0.0
258,0.0
259,0.0
260,0.0
261,132.18994367105176
262,155.9415234265311
263,196.37341285190098
264,216.57207389257948
265,204.30796003327922
266,209.99739315923654
267,214.7103193355185
268,212.64410201011356
269,215.99012557819594
270,219.39874038252776
271,217.7012597543228
272,0.0
273,243.74234973578908
274,238.9775362768094
275,198.03116906242067
276,229.20287607565123
277,242.12450655593315
278,216.47427296730362
279,165.14746224038618
280,142.91708908711888
281,120.12388985463663
282,0.0
283,0.0
284,105.50644275886418
285,122.14129264658985
286,145.0314435648893
287,200.77784235123818
288,221.18487477072455
289,206.28040000424147
290,208.5494943364672
291,205.97155647573854
292,208.8195897690571
293,205.31010418950032
294,196.0138320569064
295,210.90418300048643
