,stes_discharge_qc
424,209.84971106436325
425,219.504144120085
426,208.7337487488526
427,209.59783274924882
428,215.9057885420014
429,214.52446044330526
430,70.19512402045501
431,48.16511673351105
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,206.92677466383478
440,215.1955542954765
441,219.7782487291869
442,218.7921312964928
443,0.0
444,0.0
445,0.0
446,0.0
447,27.917036291385834
448,48.27265072779469
449,184.74789687045487
450,202.17781727503004
451,207.6257276679293
452,185.2197484705567
453,179.8133564828236
454,60.30807638468404
455,30.15256641870199
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,45.90204405805133
465,31.464560971696777
466,26.288505524963078
467,7.573812005609949
468,0.0
469,0.0
470,0.0
471,35.862339568728714
472,38.986074138964334
473,89.77308170208495
474,125.62082825352681
475,91.41437127109717
476,64.02266840900134
477,38.944336840348846
478,73.90054613395687
479,24.10009473661823
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,2.4202474041456408
495,4.250887009989003
496,3.1119103503743304
497,77.05606292812787
498,60.4828713711852
499,122.760566563656
500,103.36320394696561
501,62.13103038944138
502,85.92183417433435
503,24.019301176872432
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,168.23210805718307
512,169.78529459080139
513,168.42398955931895
514,179.72091391111925
515,0.0
516,0.0
517,0.0
518,0.0
519,7.2836719460809665
520,161.72073935103882
521,162.21641793831378
522,148.7234765280497
523,162.06757305248635
524,154.6961070096024
525,151.4099605696495
526,8.934376069413515
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,139.62870616068716
537,144.2821332340713
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,13.42095692573538
544,0.0
545,159.7419034382966
546,166.33646499920454
547,164.75560562805524
548,150.60874997792368
549,150.37003183680443
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,144.06223585579158
561,141.0216893772295
562,0.0
563,24.445452094825125
564,37.80776664339292
565,9.382561072148427
566,31.939879810349517
567,22.420393887835004
568,0.0
569,176.02209806593845
570,182.12130730697416
571,186.43376517028798
572,173.13948026859737
573,189.85815085254524
574,32.41517480318492
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,195.49391664108742
584,188.16907200140642
585,193.35954889236123
586,209.81660142488377
587,7.254747112293914
588,0.0
589,0.0
590,0.0
591,13.723643339489053
592,193.51156765266674
593,191.87206712853293
594,200.28757649092614
595,217.1591582515074
596,216.79417377954138
597,202.9940345345858
598,34.09840145469243
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,206.23773860677198
608,221.8621129928524
609,236.5461158720136
610,239.68729116797687
611,32.46925450393019
612,21.481348505800504
613,0.0
614,0.0
615,0.0
616,37.51153642344544
617,198.49519044690928
618,221.16714660395633
619,222.39515044645856
620,230.47826442078485
621,233.61839650884122
622,83.72053147597143
623,36.89094977992707
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
