,stes_soc
592,235686.668682507
593,235479.11521696713
594,235263.07333972084
595,235030.0020584712
596,234797.31303919433
597,234578.57712300692
598,234523.88802391101
599,234509.22231195506
600,234576.86008314093
601,234670.9248775134
602,234776.88799138807
603,234878.2115371033
604,234981.81147706034
605,235082.72619143064
606,235169.5377205928
607,235155.8245786692
608,234918.00909194537
609,234665.37514651273
610,234611.60907687608
611,234560.86479072727
612,234520.2635517977
613,234521.1738800491
614,234512.00887129342
615,234516.48287268373
616,234458.34978333124
617,234244.17791963398
618,234007.1175788528
619,233768.83065354783
620,233522.3928615748
621,233384.12637205928
622,233279.38355979178
623,233221.9494630324
624,233225.06231424873
625,233283.4175591749
626,233353.28469835722
627,233419.53307729008
628,233483.15775472746
629,233542.2568947032
630,233575.46435523138
631,233557.5567369362
632,233494.40127376854
633,233435.21270009404
634,233350.78031390088
635,233288.25694553438
636,233269.00099983538
637,233251.6641756213
638,233214.959951657
639,233186.49615675246
640,233107.791467243
641,232953.12862879023
642,232797.19322185952
643,232671.37723398287
644,232532.04902424265
645,232429.22188875842
646,232346.80998423352
647,232287.89288925842
648,232302.12468317556
649,232350.632925148
650,232417.09450768903
651,232492.38913221774
652,232568.09411211908
653,232629.98039043165
654,232684.43748620088
655,232686.79415070429
656,232648.19376719632
657,232603.92022912312
658,232558.374314119
659,232497.72009770887
660,232464.69678115784
661,232423.59911983061
662,232393.04875628708
663,232365.13171864426
664,232297.386230502
665,232170.6412261913
666,232042.20619564172
667,231894.84988253334
668,231725.45435345348
669,231590.86070391495
670,231461.4622162428
671,231408.41838097872
672,231431.9625143375
673,231499.76567323453
674,231563.020572709
675,231625.55768996882
676,231688.268938759
677,231739.91841606167
678,231760.55785282777
679,231747.04349440816
680,231697.53609328208
681,231621.3743664329
682,231532.63016444462
683,231454.8192256664
684,231392.3927155786
685,231355.45549469933
686,231317.76836628784
687,231259.0856983592
688,231156.17268006198
689,230910.35494202733
690,230666.1058504505
691,230423.41539526577
692,230182.27363028505
693,229942.67067279032
694,229842.606839043
695,229771.9783083522
696,229731.33488015752
697,229745.52028092166
698,229782.59813382896
699,229824.58425287396
700,229872.14267085292
701,229917.43136499348
702,229951.9832044778
703,229976.5948405786
704,230019.78621043137
705,230027.09449294672
706,229910.72487683658
707,229765.13006714676
708,229644.51111854624
709,229575.10379865897
710,229496.11464293845
711,229413.59910929244
712,229340.75194961784
713,229224.62222325406
714,229065.69231043226
715,228872.07629182775
716,228744.78591359704
717,228609.42163927972
718,228507.19959801485
719,228469.14276206522
720,228481.3368907205
721,228516.45668855793
722,228575.97374086233
723,228635.0672331763
724,228690.19149305407
725,228738.06180852314
726,228787.95702150365
727,228828.9513780153
728,228842.15176673044
729,228806.9986655389
730,228724.95703510175
731,228757.7136706582
732,228615.21007245313
733,228527.1082636114
734,228438.8275375821
735,228347.68021516537
736,228261.3876047662
737,228146.8587903769
738,227949.44207624212
739,227750.83258561077
740,227584.2931371834
741,227441.69874143397
742,227332.1177443276
743,227249.94675468226
744,227288.5163296248
745,227347.6697996809
746,227405.73465379496
747,227454.1746872026
748,227498.5120513813
749,227540.64161424473
750,227589.16722137385
751,227575.8961039467
752,227352.9253264855
753,227339.66798473123
754,227326.1659339715
755,227284.7344974498
756,227232.41312822525
757,227187.41977918663
758,227161.9597528744
759,227127.27853607366
760,227030.1089801331
761,226810.6210556399
762,226592.53375812355
763,226375.83814970776
764,226160.5253495518
765,225946.5865334866
766,225858.79983733429
767,225817.48329996405
768,225836.31503790797
769,225875.60670730728
770,225916.34782064616
771,225961.0665058819
772,226014.12129204662
773,226061.0227782424
774,226119.80887381503
775,226106.62343721095
776,225893.02858755167
777,225879.85637489776
778,225866.68493033832
779,225816.28057846194
780,225772.48420270925
781,225779.70452988028
782,225763.78756596407
783,225716.2424572162
784,225659.67860704477
785,225564.99523827294
786,225354.85670206975
787,225146.05913122205
788,225030.00899039445
789,224908.8373718189
790,224853.20830258343
791,224840.14792062485
792,224887.4803255312
793,224944.92488219944
794,225011.84178698342
795,225081.99711848432
796,225155.64999824125
797,225219.55934345612
798,225295.28883082196
799,225317.18202059562
800,225289.77052781696
801,225281.18030892377
802,225287.96560989277
803,225279.28021114913
804,225277.8663989334
805,225281.4399386016
806,225301.3121228301
807,225294.87535554136
808,225274.01215512538
809,225195.32036858494
810,225082.812769554
811,224957.09855315712
812,224845.7596914974
813,224735.35125066765
814,224638.41426003896
815,224566.52462125072
816,224580.16814832075
817,224610.49867246448
818,224648.25975036694
819,224683.1237075215
820,224717.7652181091
821,224757.67644176213
822,224804.3336946895
823,224810.1210725648
824,224775.7731909835
825,224741.1776485603
826,224703.86210721737
827,224658.5414140243
828,224674.1597780805
829,224692.34354822684
830,224702.15793136443
831,224686.40955766803
832,224663.16720703646
833,224602.75055828676
834,224479.38249473955
835,224349.95010360744
836,224207.3614364604
837,224081.60370845778
838,223983.3572478057
839,223935.33592739026
840,223954.54001371044
841,223982.5627141718
842,224019.34115365575
843,224069.8323297788
844,224117.66125463467
845,224159.4632034419
846,224215.58086076
847,224208.2066943659
848,224172.48797212026
849,224147.19097645796
850,224113.64062745855
851,224091.74460577016
852,224099.79019212452
853,224101.84577765796
854,224110.82393099813
855,224110.4942072701
856,224074.59841717503
857,223986.85962090842
858,223786.79170396132
859,223588.0004883286
860,223390.47782694563
861,223296.84692252066
862,223225.40071307006
863,223208.26693809388
864,223243.22026796176
865,223302.26530655767
866,223362.6017655472
867,223422.11414577463
868,223485.81443123642
869,223545.7098965378
870,223595.26444698905
871,223646.1775653332
872,223669.20305249313
873,223621.17453927573
874,223557.899059836
875,223508.23096773628
876,223436.39247031772
877,223395.22214384566
878,223362.37676876766
879,223323.21658623416
880,223285.4785334486
881,223205.05798055604
882,223109.10256121395
883,222999.99544834153
884,222918.67077358384
885,222857.6732507693
886,222837.92378415377
887,222836.31528284273
888,222891.12633958829
889,222962.42133606382
890,223031.92174158836
891,223104.28395735435
892,223176.43881858114
893,223245.14670436273
894,223310.8188262814
895,223377.0745788489
896,223418.85987419257
897,223419.96309809288
898,223414.14713453033
899,223386.83008541365
900,223359.73615878553
901,223301.9424274816
902,223244.63222259254
903,223243.4029010447
904,223214.30123938955
905,223125.99503237157
906,223024.77056082556
907,222904.25104003854
908,222792.0575694212
909,222656.4695813335
910,222560.57017431743
911,222538.23973719397
912,222575.2876827822
913,222639.16495465377
914,222709.94583982043
915,222783.48700382066
916,222861.45110480435
917,222929.067031316
918,223013.99287661017
919,223037.1112252303
920,223024.10554605047
921,223068.15319428002
922,223109.93679206158
923,223148.908890059
924,223190.16618056805
925,223248.45802718276
926,223279.49811119516
927,223259.82444041016
928,223226.72900819842
929,223175.0055742915
930,222980.11837369413
931,222786.47481450092
932,222594.06696061374
933,222509.02809099498
934,222447.58012589
935,222425.58524041463
936,222465.73752816065
937,222520.88480301178
938,222584.56996727234
939,222651.80112294012
940,222725.54529206923
941,222797.0323396594
942,222874.0165609503
943,222885.3134481023
944,222872.31662051304
945,222859.32055079125
946,222861.06637636668
947,222835.67911393798
948,222818.40288976333
949,222819.6236554296
950,222844.4613138745
951,222852.19915427532
952,222807.36067420227
953,222752.86028009257
954,222627.2432160134
955,222488.68143979672
956,222341.8124189019
957,222265.8716671605
958,222214.22813908738
959,222189.77683437747
960,222227.39699353543
961,222282.38814995973
962,222338.02938080824
963,222391.57020080133
964,222451.0388525266
965,222504.7111455166
966,222567.85634631774
967,222573.8630619437
968,222542.45054325587
969,222552.83040071337
