,stes_soc
366,881.9119124947315
367,881.878735484554
368,881.8455597224762
369,881.8123852084511
370,881.7792119424319
371,881.7460399243715
372,881.7128691542231
373,881.6796996319396
374,880.5604337364418
375,879.7844851201162
376,878.9526443902012
377,877.0999517647462
378,873.7229958767626
379,871.6991610666793
380,871.2383473766372
381,870.1680826329766
382,870.1353474188077
383,870.1026134361183
384,870.0698806848623
385,870.0371491649931
386,870.0044188764647
387,869.9716898192305
388,869.9389619932443
389,869.9062353984598
390,869.8735100348306
391,869.8407859023105
392,869.808063000853
393,869.3933272427779
394,866.9466022838213
395,862.8517168517631
396,860.3546854548587
397,860.3223194149501
398,858.2118915515405
399,857.5290302915992
400,856.7462653669917
401,855.20758258223
402,851.4239147264177
403,850.6257547547985
404,849.5074338571641
405,845.7724987707162
406,842.8697824923044
407,839.5005702279695
408,839.468988707675
409,839.4374083754587
410,839.4058292312761
411,839.3742512750824
412,839.342674506833
413,839.311098926483
414,839.279524533988
415,839.2479513293031
416,839.2163793123837
417,839.1848084831851
418,838.8431957018025
419,838.811638911553
420,838.7800833084515
421,838.7485288924532
422,838.3316298644636
423,836.3631563854453
424,834.3436630317202
425,830.80017104658
426,829.6556810024016
427,828.0050372556641
428,827.2543386238815
429,826.5221711803417
430,826.4910778998262
431,826.4599857890217
432,826.4288948478843
433,826.3978050763698
434,826.3667164744343
435,826.3356290420338
436,826.3045427791244
437,826.273457685662
438,826.2423737616026
439,826.2112910069022
440,826.1802094215169
441,824.5311109114896
442,818.4942048441152
443,813.0930382537249
444,811.4696171190479
445,811.4390901068095
446,811.4085642429795
447,811.3780395275146
448,811.3475159603717
449,811.3169935415074
450,810.9101646921487
451,808.5159542890268
452,807.1052003329615
453,806.2664550194918
454,806.2361237471674
455,806.2057936158878
456,806.17546462561
457,806.145136776291
458,806.114810067888
459,806.084484500358
460,806.0541600736582
461,806.0238367877455
462,805.9935146425771
463,805.96319363811
464,805.9328737743015
465,805.6832713986677
466,805.6529620653699
467,805.6226538722916
468,804.5260639886823
469,795.7783503015751
470,794.4711266850719
471,793.6611583656528
472,792.9732860067379
473,792.8713371941453
474,792.8415098383166
475,791.9097376500838
476,791.8799464690674
477,791.8501564087777
478,791.8203674691727
479,791.7905796502101
480,791.760792951848
481,791.7310073740439
482,791.7012229167559
483,791.6714395799418
484,791.6416573635593
485,791.6118762675663
486,791.5820962919208
487,791.5523174365806
488,791.5225397015034
489,790.6939340686514
490,789.8981781919838
491,788.8640329121225
492,787.3328129396675
493,787.3031939398809
494,787.2735760543437
495,787.2439592830141
496,787.21434362585
497,786.0853100133301
498,786.0557379438736
499,786.0261669869012
500,785.9965971423709
501,785.9670284102408
502,785.9374607904691
503,785.907894283014
504,785.8783288878336
505,785.8487646048861
506,785.8192014341296
507,785.7896393755223
508,785.7600784290223
509,785.7305185945878
510,785.700959872177
511,785.6714022617481
512,785.6418457632592
513,785.6122903766684
514,783.137619244783
515,783.1081580657287
516,783.0786979949868
517,783.0492390325155
518,783.0197811782731
519,782.990324432218
520,781.589224456343
521,774.5356843289076
522,768.0123509818022
523,767.9834588064908
524,766.2542013302752
525,766.2253752955252
526,765.7735407900049
527,765.744732837423
528,765.7159259685795
529,765.6871201834336
530,765.6583154819446
531,765.6295118640714
532,765.6007093297736
533,765.5719078790103
534,765.5431075117406
535,765.514308227924
536,765.4855100275195
537,765.4567129104864
538,765.4279168767841
539,765.3991219263718
540,765.245715464403
541,765.2169273683012
542,765.1881403551906
543,765.1593544250308
544,764.8980340023672
545,764.8692589858385
546,764.8404850518092
547,764.8117122002384
548,764.7829404310854
549,764.7541697443096
550,764.7254001398702
551,764.6966316177264
552,764.6678641778377
553,764.6390978201632
554,764.6103325446622
555,764.5815683512941
556,764.5528052400181
557,764.5240432107935
558,764.4952822635796
559,764.4665223983358
560,764.4377636150211
561,764.4090059135951
562,764.3802492940171
563,764.3514937562462
564,763.695101438314
565,763.6663716754047
566,763.6376429932922
567,763.6089153919359
568,762.8577510368162
569,759.7194820860535
570,759.0123398309133
571,758.983786230756
572,758.9552337047683
573,758.9266822529099
574,758.8981318751405
575,758.8695825714195
576,758.8410343417067
577,758.8124871859616
578,758.7839411041438
579,758.7553960962128
580,758.7268521621285
581,758.6983093018501
582,758.6697675153375
583,758.6412268025502
584,758.6126871634478
585,758.58414859799
586,758.5556111061362
587,758.5270746878463
588,758.4985393430796
589,758.470005071796
590,758.4414718739549
591,758.4129397495161
592,757.0165578520464
593,755.7431312043682
594,754.2083601021917
595,751.2964116527364
596,750.9490598246043
597,748.2064915643105
598,748.1783444738428
599,748.1501984422522
600,748.1220534694988
601,748.0939095555428
602,748.0657667003445
603,748.0376249038638
604,748.0094841660612
605,747.9813444868965
606,747.9532058663302
607,747.9250683043223
608,747.896931800833
609,747.8687963558226
610,747.8406619692511
611,747.8125286410788
612,747.7843963712658
613,747.7562651597723
614,747.7281350065585
615,747.7000059115848
616,747.671877874811
617,747.3863786756484
618,743.946098619938
619,740.160817755638
620,739.3058085291831
621,737.9692285225871
622,737.2394063873954
623,737.2116718722557
624,737.1839384004722
625,737.1562059720058
626,737.128474586817
627,737.1007442448667
628,737.0730149461157
629,737.0452866905247
630,737.0175594780544
631,736.9898333086657
632,736.9621081823192
633,736.9343840989757
634,736.906661058596
635,736.8789390611408
636,736.8512181065711
637,736.8234981948474
638,736.7957793259305
639,736.7680614997813
640,736.7403447163605
641,734.3794677550193
642,732.159712857866
