,el_demand
236,107.27999672256064
237,99.19007417725594
238,95.47882985639487
239,74.514732806856
240,51.41714319359777
241,39.01735190077121
242,32.1144747533234
243,29.510765966711816
244,31.814764441691022
245,38.20496230618359
246,46.23400080348731
247,61.797091420390075
248,73.81938239544823
249,71.69712521259228
250,72.06310650512714
251,73.02994589764788
252,68.44112844449798
253,66.39334629217765
254,70.53329299259404
255,85.56848522396669
256,89.78493886505709
257,98.3797648645917
258,101.8829783031244
259,92.64322736874753
260,90.12003055887675
261,87.44281229465763
262,79.56528311025939
263,66.12154016377457
264,41.30792610742061
265,29.47303996672074
266,27.15560684076342
267,26.043680664481457
268,26.968897989886457
269,33.03087442180403
270,44.60425961747232
271,54.32974024567717
272,67.68900907483122
273,66.42165026421091
274,65.6164637231905
275,63.97355340122036
276,59.936123924348735
277,63.94649344406686
278,61.005075890880256
279,76.48933015345035
280,83.8818400535352
281,91.44329213482774
282,95.64181548229196
283,95.3292154433688
284,96.2895489129952
285,90.75816624003954
286,83.16808135531784
287,64.66225852781332
288,43.277125229275384
289,30.52059999575857
290,27.888505663532825
291,26.235443524261456
292,28.647410230942892
293,33.77789581049971
294,42.3891679430936
295,59.47981699951348
296,76.76001346258583
297,73.73979032205034
298,74.24876728883196
299,74.77686757145842
300,71.46564986621132
301,70.30746246909807
302,71.76443640700106
303,81.7673925289005
304,89.32873766827952
305,103.41325519532316
306,103.3828377187576
307,107.5155765451837
308,105.91824236164767
309,93.93649937382912
310,92.07482442600427
311,78.1027202181416
312,48.58341747956559
313,35.47902585496916
314,31.59674145048846
315,28.896510989972793
316,30.254604231961927
317,36.47509076151022
318,44.56676702411787
319,60.31712078810408
320,73.26997330638633
321,72.60407277394042
322,73.20345788346816
323,69.57513387321123
324,69.18720357928382
325,69.48333838458758
326,69.80290154925555
327,78.01628442033764
328,85.37311572690368
329,95.92511795593322
330,96.26254457689501
331,101.7601414541246
332,99.94183874129436
333,89.71768444709907
334,85.02533659524688
335,71.39724477821716
336,47.544569341069874
337,35.07171253636258
338,30.79854980239318
339,27.7939888072669
340,29.009076550514237
341,34.68202219712401
342,44.821461552715625
343,62.08707493575588
344,71.85893327664559
345,70.2941113622121
346,72.29987825407638
347,70.83930536521444
348,65.2031879261184
349,64.77026575014604
350,64.20246389212667
351,74.69759609827325
352,81.87342929207743
353,91.5420724795167
354,92.32056638746276
355,99.14746332533643
356,95.68225936255465
357,87.89213111002559
358,78.2122482681181
359,61.343753484487735
360,47.97045266195387
361,34.95735726296153
362,29.13473930602401
363,26.373047396792977
364,25.317501742757212
365,26.591408717305047
366,26.49913481685177
367,34.889732317646896
368,50.51403403080531
369,69.46047029657471
370,82.79702557466618
371,84.78163421239722
372,86.3096741075552
373,82.84989254980364
374,76.74495975118634
375,74.96811402452174
376,79.54550257037737
377,84.80187597560789
378,84.3740648314292
379,89.70052716903204
380,92.7841292678595
381,81.60942120876447
382,73.87231844012638
383,59.169241657658965
384,49.12287820578489
385,37.23080537193771
386,31.78358256929205
387,27.282422561049593
388,25.694271692104994
389,28.60684982752332
390,26.407026524785053
391,36.37813313702427
392,53.70916297548625
393,73.7692977170701
394,81.7864953701633
395,91.46120217131212
396,93.22337390584448
397,87.20792337100413
398,82.97821937473698
399,85.869662134809
400,86.61262594379727
401,99.34915168256488
402,101.83097290465011
403,108.20072038139635
404,102.31468509987292
405,96.70034625799542
406,90.38919516151428
407,71.20270845554577
408,49.69905482983549
409,37.91352866962376
410,34.65521710735404
411,32.013278016558914
412,32.645100048906826
413,38.05088684672417
414,47.45288760508015
415,66.06745299615368
416,79.31029859225559
417,75.72127090407682
418,79.91949449368694
419,74.33451485052065
420,68.3263453666291
421,66.5902565595819
422,71.34171587029994
423,84.4365027025683
424,93.16411575664569
425,106.35079293716454
426,102.72356800849208
427,103.4933303578949
428,108.73095272830292
429,100.66112505677053
430,89.94018726934105
431,76.6285961856647
432,51.20431775342932
433,40.169482660407354
434,32.45256337242658
435,31.813844724013418
436,32.231450237290325
437,39.00040688407329
438,47.32041278944822
439,64.80795460897716
440,78.19513521814761
441,76.1123223673028
442,76.70575637867864
443,71.92754511266044
444,66.37850346256761
445,67.91783384247253
446,68.17346947181868
447,80.6415894498386
448,89.99221961272072
449,99.1294437211734
450,109.80125239482977
451,112.02206842330176
452,100.50496214563744
453,91.1235722802167
454,90.9988637820774
455,76.27236982707835
456,54.27438167360015
457,41.02163880873394
458,34.85257794910297
459,31.806688339649742
460,32.462842804506366
461,40.44386857800458
462,48.217785764390214
463,66.18307102551084
464,80.69308130678044
465,76.75399075422905
466,77.16462552592368
467,77.5213984372926
468,71.25114145302523
469,73.24061490877124
470,74.91918517389368
471,84.34513320696473
