,th_demand
231,184.07358917347858
232,188.75921635139514
233,211.20397645701573
234,226.75696426703
235,221.15018268526998
236,221.15021576746508
237,230.84021434859352
238,223.71198224802743
239,216.96640042447672
240,210.64561253690945
241,200.3470942909333
242,199.2688377778332
243,201.7989399163807
244,202.04742731669202
245,200.39498089638428
246,183.0899389092976
247,191.32509273857335
248,203.36604538471542
249,205.60676984729201
250,213.65358152035347
251,214.11190077251362
252,206.20156820625678
253,208.96232879577494
254,201.9127722193474
255,201.83793956246058
256,204.94377015654715
257,216.0537410950509
258,217.475936490175
259,200.9504378124971
260,194.53240743859354
261,202.97260931048461
262,198.49419265828874
263,215.60486374880503
264,210.53598597511518
265,200.33791261759666
266,197.67429490996923
267,203.98861352650297
268,195.7165111006635
269,191.42844013122706
270,196.55743056401383
271,194.8074010038938
272,221.62401384283163
273,229.1799340618224
274,228.21421268007848
275,226.64325343603778
276,214.93303878767398
277,219.46039900097918
278,203.7747562938664
279,201.80397441568562
280,211.0560974691753
281,214.41619243442742
282,213.5286327247509
283,208.76115949969892
284,206.9244230583725
285,212.19975301396403
286,214.14784598683008
287,202.94073552613682
288,213.56355620532503
289,211.38394956955108
290,212.14189493161706
291,202.51520954924584
292,200.27778812901462
293,195.03869938011368
294,184.9619380103656
295,188.0627729446496
296,206.28945326170086
297,226.33518012412605
298,216.73993160100622
299,234.595085285146
300,232.32642141799198
301,213.00563937806882
302,205.85168619271582
303,197.88320335482118
304,196.34861346521106
305,195.25264787425436
306,199.6152072396484
307,202.4385951628546
308,197.73615935640794
309,191.85811232266593
310,199.98010080062323
311,226.36752967399545
312,211.3138756981895
313,216.11318029938886
314,203.78583233680524
315,203.80497271574822
316,201.40020708809536
317,196.55762813119708
318,183.07616027499083
319,191.08809181009272
320,204.11050463261506
321,217.60732927071405
322,217.6094286932498
323,222.05791506149265
324,232.19092483568335
325,230.02869762302234
326,220.23265120651166
327,207.96047390861682
328,198.88280592455237
329,205.97045230900585
330,203.59963848413489
331,211.09894945015964
332,215.89802080429445
333,222.35346443418996
334,215.80592721898603
335,232.30725180515307
336,222.40123348028698
337,226.13393355545176
338,222.1625082671841
339,215.99173336720912
340,214.207016498319
341,203.72857224892346
342,204.37478116148728
343,223.49905747255667
344,231.45399706648868
345,242.34303544810274
346,244.95963531377168
347,233.3664040501994
348,234.51355916110856
349,224.95287349867036
350,225.34336304741146
351,215.7455984477538
352,211.24454128136136
353,219.4933043204087
354,231.54142930775825
