,total_demand
535,5.513999999999999
536,5.907
537,6.542000000000001
538,7.2219999999999995
539,11.696000000000002
540,8.881
541,8.723
542,9.914000000000001
543,7.648999999999999
544,10.096
545,10.259
546,8.84
547,8.812999999999999
548,8.392
549,7.745000000000001
550,7.4879999999999995
551,5.86
552,5.776
553,6.802
554,6.587
555,8.805
556,6.136
557,6.347999999999999
558,5.521
559,5.465999999999999
560,6.525
561,7.478
562,9.248000000000001
563,10.129999999999999
564,9.404
565,10.228
566,9.947
567,9.255
568,12.283
569,14.337
570,9.566
571,9.937
572,9.301000000000002
573,9.587
574,9.941
575,7.106999999999999
576,5.77
577,5.269000000000001
578,5.7410000000000005
579,7.452
580,6.388999999999999
581,7.433
582,7.093
583,5.8580000000000005
584,8.370999999999999
585,7.19
586,10.78
587,11.073
588,10.347999999999999
589,10.14
590,9.056000000000001
591,8.897
592,11.309000000000001
593,12.269
594,14.301
595,12.867
596,9.684
597,13.579999999999998
598,11.641000000000002
599,7.122
600,6.323
601,7.2989999999999995
602,7.082000000000001
603,6.975999999999999
604,9.040999999999999
605,9.72
606,8.602
607,7.819
608,11.001999999999999
609,8.935
610,13.074
611,18.504
612,13.054000000000002
613,12.192
614,10.471
615,10.893
616,11.316
617,11.559000000000001
618,17.681
619,16.614
620,12.138000000000002
621,14.117999999999999
622,12.959000000000001
623,10.996
624,13.474
625,9.579999999999998
626,8.724
627,9.182
628,9.719000000000001
629,10.341000000000001
630,10.642
631,13.121
632,12.001999999999999
633,10.892999999999999
634,12.485999999999999
635,14.107
636,11.437000000000003
637,14.57
638,10.692
639,10.864999999999998
640,12.219000000000001
641,16.685
642,17.216
643,18.163
644,14.284000000000002
645,12.192
646,15.371
647,13.36
648,8.325
649,9.702
650,9.387999999999998
651,9.363999999999999
652,9.27
653,10.32
654,11.039000000000001
655,11.235999999999999
656,13.735
657,13.186
658,17.97
659,16.853
660,12.654
661,10.797
662,11.712
663,11.602
664,12.572
665,17.844
666,16.261000000000003
667,14.871
668,20.619
669,18.644
670,11.018
671,11.738
672,9.515
673,8.67
674,9.343
675,10.9
676,10.22
677,9.966999999999999
678,10.151000000000002
679,10.192
680,11.429000000000002
681,11.46
682,17.052
683,17.606
684,13.326
685,12.409999999999998
686,11.34
687,15.187999999999999
688,17.608
689,14.584
690,14.564
691,15.232
692,16.332
693,15.640999999999998
694,12.703000000000001
695,11.859
696,12.029
697,9.831
698,9.648
699,9.142
700,11.932
701,10.121
702,9.486
703,9.697
704,9.276
705,12.808
706,13.224999999999998
707,15.611999999999998
708,14.087
709,9.735000000000001
710,10.262
711,11.693999999999999
712,11.244
713,15.937
714,19.271
715,18.276
716,19.626
717,22.503
718,14.793
719,11.759
720,10.736
721,16.648
722,10.471999999999998
723,9.904
724,9.500000000000002
725,10.688
726,9.382000000000001
727,10.897
728,9.501999999999999
729,15.022000000000002
730,14.790000000000001
731,16.704
732,17.915999999999997
733,18.105
734,13.277999999999999
735,14.742
736,14.876
737,14.899000000000001
738,17.546999999999997
739,15.299
740,17.022
741,17.97
742,15.538999999999998
743,11.855
744,10.567
745,9.623999999999999
746,11.023
747,12.031
748,12.091999999999999
749,10.834000000000001
750,11.0
751,10.87
752,12.288
753,11.908999999999999
754,16.929
755,17.293
756,14.101
757,13.21
758,13.721
759,14.056000000000001
760,13.808
761,14.081
762,16.142000000000003
763,17.529999999999998
764,15.873999999999999
765,12.189
766,13.219
767,10.745000000000001
768,10.799999999999999
769,9.484
770,8.525
771,8.701
772,11.938
773,9.931999999999999
774,9.681
775,9.086
776,10.123
777,13.523000000000001
778,16.465
