p_from_mw;q_from_mvar;p_to_mw;q_to_mvar
0.035388696961395565;0.011631201140669237;-0.03538869688991599;-0.01163120106918967
0.07859312418754635;0.023828167527962397;-0.07859086605665767;-0.02453427095947544
0.0007844189712125341;0.0002578141810556986;-0.0007844189711773406;-0.0002578141810205052
0.07780644605698427;0.02427645595823158;-0.07779722543126656;-0.0255696137373251
0.4854473049918848;0.1374227026247169;-0.48539368454225934;-0.13759399927481406
0.33185087862489304;0.08712908585119869;-0.3318280929526995;-0.08729861310966981
4.2859412631822825e-10;-0.0029640215887820837;8.13751106556394e-12;0.0002541332563526172
-9.329192892972704e-12;-0.00025413326430870397;1.7586426550978704e-11;-2.0420452404555738e-13
0.06854225075378836;0.010625961839591405;-0.06854077838378181;-0.022527297771514153
0.15354280712903656;0.05046491173081041;-0.1535428061372447;-0.05046491073901856
