,stes_temperature
182,40.533811552806796
183,40.52848265403991
184,40.5215230716608
185,40.513448207268965
186,40.502351262031766
187,40.49169058830326
188,40.48154791400901
189,40.47392650761658
190,40.46969553384455
191,40.464387954034706
192,40.458006449184
193,40.452393938110475
194,40.446341365063276
195,40.44041370791939
196,40.436262260064225
197,40.43107158142825
198,40.425514355759645
199,40.41908228331394
200,40.41490273794178
201,40.411051437217395
202,40.40730018235324
203,40.40136734231403
204,40.392029164111406
205,40.38072257472068
206,40.37315157892809
207,40.36747147286503
208,40.36267882163578
209,40.354887336170826
210,40.34762417084565
211,40.336632920352926
212,40.32901102842692
213,40.32396395021763
214,40.320013536641156
215,40.315165992608925
216,40.310613472805755
217,40.30658617145514
218,40.30342649007954
219,40.30069407419562
220,40.29797884660959
221,40.29467970326941
222,40.29116236402025
223,40.27385670333575
224,40.25765160740734
225,40.24037470615728
226,40.22226580271074
227,40.203947108131445
228,40.18409338299506
229,40.178980111009366
230,40.172691495735435
231,40.167710823477734
232,40.16036399371241
233,40.146693334449395
234,40.131520996811126
235,40.11787978291758
236,40.103885251609896
237,40.09206567526624
238,40.080968317357474
239,40.07276274005285
240,40.06532709874054
241,40.058092831094086
242,40.05217316805341
243,40.04629446259372
244,40.03996360456536
245,40.033632303982756
246,40.02846971425814
247,40.02208052063877
248,40.01507131233993
249,40.00780158033804
250,40.00039535990864
251,39.99216748062946
252,39.984522186341145
253,39.97772844554207
254,39.970771185291454
255,39.96305932232559
256,39.95562000230057
257,39.94579489770142
258,39.93428099022573
259,39.926562480125924
260,39.920207776324034
261,39.913365341394865
262,39.90806888556966
263,39.90150051430048
264,39.89556398019246
265,39.89064980655005
266,39.88526180401422
267,39.879481376177644
268,39.87387347486626
269,39.867987069805565
270,39.861816961524795
271,39.85578867474964
272,39.84822943344547
273,39.84003185915476
274,39.832231837305926
275,39.824398617413266
276,39.81741407484327
277,39.8093531426705
278,39.80334715227675
279,39.796833371488574
280,39.79094435990123
281,39.7827273541996
282,39.772542874962355
283,39.76266356830111
284,39.752765200794116
285,39.743738102802396
286,39.73724240879606
287,39.730870946923176
288,39.72456010063302
289,39.719491667014
290,39.71423444185447
291,39.70919235566551
292,39.70391323146491
293,39.69892687650615
294,39.694715505693
295,39.68926352128414
296,39.681675125577186
297,39.67390224324653
298,39.66619123520826
299,39.65751019141391
300,39.64934489271455
301,39.64201672781087
302,39.635678493988095
303,39.630352464568595
304,39.62418826164247
305,39.612943664128565
306,39.60173579970805
307,39.588626237291194
308,39.576561579517296
309,39.568047419043644
310,39.55935801880457
311,39.551479362213556
312,39.54482022952635
313,39.53895570790226
314,39.5332424259643
315,39.52799337926626
316,39.52272723400371
317,39.517107523961485
318,39.51287120252067
319,39.50672241101823
320,39.49990380408531
321,39.49227644190155
322,39.484425479418675
323,39.47713145409633
324,39.46912403248385
325,39.4611510121833
326,39.45424942685743
327,39.448526781470164
328,39.44280015344307
329,39.433667678033316
330,39.42445388230586
331,39.41258210951243
332,39.4015601455924
333,39.39340286325583
334,39.38621510921341
335,39.377956732819555
336,39.36913603838761
337,39.36106729404872
338,39.35341951318566
339,39.34634847105529
340,39.33930835428811
341,39.33217531588102
342,39.32561865247011
343,39.31625542781482
344,39.306928161589994
345,39.296974628315084
346,39.28658374741653
347,39.27663743310262
348,39.267968780377345
349,39.25959772997526
350,39.252429024328194
351,39.24595192019018
352,39.23973193508834
353,39.23051637011522
354,39.220471625941784
355,39.20719278543406
356,39.195719747855506
357,39.18624474738743
358,39.17917819384981
359,39.172064266866094
360,39.16516048540049
361,39.15879452081417
362,39.15279046443071
