,hp_direct_qw
188,112.57544938692683
189,140.1927576160547
190,166.54755504412626
191,166.54755504412626
192,166.54755504412626
193,166.54755504412626
194,166.54755504412626
195,166.54755504412626
196,166.54755504412626
197,166.54755504412626
198,166.54755504412626
199,166.54755504412626
200,166.54755504412626
201,166.54755504412626
202,166.54755504412626
203,166.54755504412626
204,155.31663974122694
205,135.60594386639997
206,157.57035030144243
207,165.2345288839388
208,166.54755504412626
209,143.82571440323062
210,149.78517060032158
211,118.6575408306565
212,139.3984306936831
213,166.54755504412626
214,166.54755504412626
215,166.54755504412626
216,166.54755504412626
217,166.54755504412626
218,166.54755504412626
219,166.54755504412626
220,166.54755504412626
221,166.54755504412626
222,166.54755504412626
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,166.54755504412626
230,166.54755504412626
231,165.87124523551776
232,148.7345710787739
233,99.49368920177724
234,90.24837787664478
235,96.76601824130799
236,91.91503026550825
237,116.9674838320596
238,128.3609638660365
239,166.54755504412626
240,166.54755504412626
241,166.54755504412626
242,166.54755504412626
243,166.54755504412626
244,166.54755504412626
245,166.54755504412626
246,166.54755504412626
247,166.54755504412626
248,166.54755504412626
249,166.54755504412626
250,166.54755504412626
251,166.54755504412626
252,166.54755504412626
253,166.54755504412626
254,166.54755504412626
255,159.3081943385227
256,146.75678473642117
257,120.11326595434082
258,108.99544748790551
259,138.0807982869773
260,146.14119470482936
261,153.99713103960272
262,166.54755504412626
263,166.54755504412626
264,166.54755504412626
265,166.54755504412626
266,166.54755504412626
267,166.54755504412626
268,166.54755504412626
269,166.54755504412626
270,166.54755504412626
271,166.54755504412626
272,166.54755504412626
273,166.54755504412626
274,166.54755504412626
275,166.54755504412626
276,166.54755504412626
277,166.54755504412626
278,166.54755504412626
279,166.54755504412626
280,165.02065429334885
281,141.4980948279478
282,128.1940594238568
283,129.24150490385875
284,126.35343232160061
285,143.26102669137157
286,166.54755504412626
287,166.54755504412626
288,166.54755504412626
289,166.54755504412626
