,stes_soc
137,370365.6903642471
138,370222.5386756133
139,370080.10036916495
140,369980.14232374576
141,369890.14979952254
142,369807.84773068567
143,369730.2583263061
144,369627.4448985261
145,369545.6996670952
146,369488.29966956883
147,369429.4155657766
148,369370.4615463664
149,369307.69712042797
150,369252.8862298256
151,369177.24620795005
152,369095.00734501047
153,369013.1260502197
154,368925.88519219897
155,368815.6000358413
156,368698.5414934066
157,368594.20057938277
158,368507.32291488367
159,368428.0263224061
160,368314.43057057593
161,368208.9639179272
162,368064.65850258694
163,367914.06067113916
164,367780.95262290945
165,367659.1538308998
166,367550.4610479642
167,367477.4259800077
168,367397.7441049267
169,367336.8984036301
170,367276.3008776708
171,367224.75754234404
172,367176.5787355028
173,367118.16394961486
174,367072.5885114684
175,367006.291664688
176,366927.73663053825
177,366839.1048795235
178,366747.69893691776
179,366654.2946534429
180,366573.40365710563
181,366481.99632545345
182,366405.73863368155
183,366341.79184847896
184,366258.2768599296
185,366161.37848722754
186,366028.2151443812
187,365900.28705963906
188,365778.57496810815
189,365687.1180913989
190,365636.34640613454
191,365572.6554484165
192,365496.0773902079
193,365428.72725732566
194,365356.0963807593
195,365284.9644950326
196,365235.14712077077
197,365172.85897713894
198,365106.1722691157
199,365028.98739976727
200,364978.8328553014
201,364932.6172466087
202,364887.6021882389
203,364816.4081077684
204,364704.34996933694
205,364568.6708966481
206,364477.81894713704
207,364409.6576743803
208,364352.1458596294
209,364258.6480340499
210,364171.4900501478
211,364039.5950442351
212,363948.13234112295
213,363887.5674026116
214,363840.16243969393
215,363781.9919113071
216,363727.361673669
217,363679.0340574616
218,363641.1178809544
219,363608.32889034745
220,363575.74615931505
221,363536.15643923293
222,363493.948368243
223,363286.28044002905
224,363091.819288888
225,362884.49647388735
226,362667.18963252887
227,362447.3652975774
228,362209.1205959407
229,362147.76133211236
230,362072.29794882523
231,362012.52988173283
232,361924.36792454886
233,361760.3200133927
234,361578.2519617335
235,361414.55739501095
236,361246.6230193188
237,361104.7881031949
238,360971.6198082897
239,360873.1528806341
240,360783.92518488644
241,360697.113973129
242,360626.07801664085
243,360555.5335511247
244,360479.5632547843
245,360403.58764779306
246,360341.63657109765
247,360264.9662476652
248,360180.8557480791
249,360093.6189640565
250,360004.74431890366
251,359906.00976755354
252,359814.2662360937
253,359732.7413465049
254,359649.2542234974
255,359556.7118679071
256,359467.4400276068
257,359349.53877241694
258,359211.3718827087
259,359118.74976151105
260,359042.49331588834
261,358960.38409673836
262,358896.826626836
263,358818.0061716057
264,358746.7677623096
265,358687.7976786006
266,358623.14164817065
267,358553.7765141317
268,358486.48169839504
269,358415.8448376667
270,358341.8035382975
271,358269.46409699565
272,358178.7532013456
273,358080.3823098572
274,357986.7820476711
275,357892.78340895916
276,357808.96889811923
277,357712.237712046
278,357640.165827321
279,357562.00045786286
280,357491.33231881476
281,357392.7282503952
282,357270.5144995482
283,357151.9628196133
284,357033.18240952934
285,356924.85723362875
286,356846.90890555264
287,356770.451363078
288,356694.72120759625
289,356633.900004168
290,356570.81330225366
291,356510.30826798605
292,356446.9587775789
293,356387.12251807377
294,356336.58606831596
295,356271.1622554097
296,356180.10150692624
297,356086.8269189584
298,355994.2948224991
299,355890.1222969669
300,355792.13871257467
301,355704.20073373045
302,355628.1419278571
303,355564.2295748231
304,355490.2591397097
305,355355.32396954275
306,355220.82959649665
307,355063.51484749437
308,354918.7389542075
309,354816.5690285237
310,354712.29622565483
311,354617.7523465626
312,354537.84275431617
313,354467.4684948271
314,354398.9091115716
315,354335.9205511952
316,354272.72680804454
317,354205.29028753785
318,354154.454430248
319,354080.66893221874
320,353998.84564902366
321,353907.3173028186
322,353813.10575302417
323,353725.577449156
324,353629.4883898062
325,353533.8121461996
326,353450.99312228913
327,353382.321377642
328,353313.60184131685
329,353204.0121363998
330,353093.4465876703
331,352950.9853141492
332,352818.72174710874
333,352720.83435907
334,352634.5813105609
335,352535.4807938347
336,352429.6324606513
337,352332.80752858473
338,352241.03415822797
339,352156.18165266357
340,352071.7002514572
341,351986.10379057215
342,351907.42382964137
343,351795.0651337779
344,351683.1379390799
345,351563.695539781
346,351439.0049689984
347,351319.6491972314
348,351215.62536452815
349,351115.1727597031
350,351029.1482919383
351,350951.4230422822
352,350876.78322106
353,350766.19644138264
354,350645.6595113014
355,350486.31342520873
356,350348.63697426603
357,350234.9369686491
358,350150.1383261977
359,350064.7712023931
360,349981.9258248059
361,349905.53424977005
362,349833.4855731685
363,349761.16646428994
364,349689.67508537794
365,349611.2468401243
366,349522.29595777264
367,349442.13493183925
368,349376.0649468662
369,349302.4173043213
370,349208.8625712202
371,349112.5379778612
372,349013.4161192603
373,348912.5673393434
374,348832.545588968
375,348760.7287238788
376,348675.12649326265
377,348580.555851201
378,348484.6677305001
379,348362.3606142436
380,348227.99866279494
381,348132.6338466645
382,348043.51956588484
383,347950.29247690056
384,347865.02253619797
385,347779.72456395585
386,347698.11541186273
387,347627.92892462405
388,347564.85843605304
389,347485.2792544449
390,347409.5079543816
391,347334.9372406501
392,347272.6959654962
393,347199.5525048869
394,347117.5895662882
395,347014.01918026985
396,346901.91508923174
397,346797.19017543073
398,346708.5987491366
399,346610.28604934097
400,346512.22047368233
401,346356.0503334683
402,346181.9928876788
403,345981.5235726961
404,345821.0682443788
405,345672.81279180007
406,345547.82414781704
407,345443.13007510774
