,stes_soc
113,312465.96338537027
114,312223.6720557419
115,311984.63712668465
116,311908.2318407739
117,311824.64572283975
118,311748.4418044419
119,311655.3840198159
120,311572.0790871221
121,311498.0019396796
122,311425.80467737303
123,311351.3098916463
124,311284.64527165954
125,311204.21809837164
126,311129.8529888258
127,311037.32783213054
128,310946.91048406396
129,310839.76244172256
130,310738.2924356714
131,310626.97606174357
132,310508.5083906801
133,310406.76792072394
134,310300.6381944636
135,310206.6017167554
136,310128.89372766076
137,309876.51289575483
138,309614.53095939924
139,309521.1348069217
140,309448.81663063186
141,309371.94621776685
142,309292.72606644046
143,309217.40469795314
144,309116.6382544518
145,309037.1241868483
146,308982.1682377955
147,308925.7149715899
148,308869.19095779996
149,308808.82296043285
150,308756.4779022556
151,308516.1879698879
152,308269.25092943833
153,308022.6840820331
154,307770.72024707036
155,307495.5198686482
156,307213.4962786096
157,306944.3111137664
158,306692.7515492281
159,306615.7820943705
160,306535.6335694875
161,306470.83856326673
162,306389.8021800897
163,306306.6904303736
164,306232.71353278356
165,306152.5656859845
166,306072.27833963034
167,306001.6043384217
168,305924.22510792513
169,305865.84670696757
170,305807.71842928545
171,305758.723380086
172,305713.122096142
173,305657.1950110004
174,305614.2194493274
175,305550.34086738236
176,305474.0965583196
177,305387.6870796906
178,305298.47887638176
179,305207.2545888224
180,305128.6528812221
181,305039.4425352431
182,304965.51420280815
183,304904.00431213336
184,304842.29440285865
185,304784.16950839834
186,304712.04174262326
187,304641.85773276
188,304576.5101632085
189,304513.8201447584
190,304465.5841727386
191,304404.31561499974
192,304330.0469146032
193,304265.0866864035
194,304194.7992570255
195,304126.0237079034
196,304078.7490301047
197,304018.89419682
198,303954.60206861957
199,303879.7196478446
200,303832.1039443421
201,303788.4614442582
202,303746.0297929753
203,303677.1897325704
204,303578.4568830187
205,303475.7786382722
206,303396.1611508245
207,303331.7009309506
208,303276.658569702
209,303208.2357006103
210,303140.19496069755
211,303058.424458628
212,302996.51465430844
213,302938.3844619283
214,302893.5292279457
215,302837.81397288095
216,302785.6697806211
217,302739.8831667725
218,302704.5989242192
219,302674.48654821835
220,302644.5820378286
221,302607.6089983214
222,302567.9944811805
223,302362.54379272135
224,302170.41509126406
225,301965.31173811527
226,301750.13655173185
227,301545.14722240146
228,301339.46062284044
229,301280.52206395206
230,301207.3556925937
231,301150.70403375564
232,301082.6963499038
233,300987.8090451746
234,300884.06584394554
235,300792.2774668881
236,300701.1012089592
237,300610.9764239226
238,300518.0977049972
239,300421.7007256401
240,300334.6236089461
241,300249.9838868007
242,300181.2572779438
243,300113.0262337165
244,300039.3216312674
245,299965.6114387155
246,299906.04831717326
247,299831.63687205425
248,299582.78670062363
249,299497.7255550241
250,299411.0119674506
251,299314.3519140133
252,299224.7438292838
253,299145.44359624526
254,299064.1637140454
255,298981.051823916
256,298913.8996943624
257,298844.7428754122
258,298766.3551596414
259,298704.5672815279
260,298651.15546777216
261,298583.9135019119
262,298522.72442221973
263,298446.13851936726
264,298377.2008023331
265,298320.63858164847
266,298258.3404195934
267,298191.2917061359
268,298126.3312078279
269,298057.9991821218
270,297986.2326864443
271,297916.18271632306
272,297827.60023477906
273,297731.29045567074
274,297639.7928181826
275,297547.89306984254
276,297466.26635618985
277,297371.6096532009
278,297301.82787486183
279,297225.89903894224
280,297159.0730991368
281,297087.79483601195
282,297006.11898377404
283,296927.0781198808
284,296850.71741754736
285,296767.84523848107
286,296692.12382102164
287,296617.90600648656
288,296544.4217145479
289,296485.97665925516
290,296425.2460535369
291,296367.1194947921
292,296306.12335993594
293,296248.6709902187
294,296200.59962428786
295,296137.51035729726
296,296048.5595006671
297,295957.3751802318
298,295866.9396055287
299,295764.7614539256
300,295668.8261681685
301,295583.024179782
302,295509.20511584217
303,295447.6386057599
304,295394.05326217075
305,295323.4367329699
306,295253.1557805443
307,295173.0483530981
308,295100.3717082302
309,295033.1206056429
310,294958.1759491144
311,294865.68726940255
312,294787.9607427965
313,294719.8527898691
314,294653.57537541195
315,294592.9173279074
316,294532.052081907
317,294466.9066967283
318,294418.5070773208
319,294346.95670168614
320,294267.2979481578
321,294177.8489366403
322,294085.69298946264
323,294000.2785498168
324,293906.2281725986
325,293812.5939785687
326,293731.92931294173
327,293665.5355392538
328,293605.0950992545
329,293536.5962222538
330,293468.161286395
331,293385.1514186188
332,293306.61385831906
333,293230.76905200153
334,293152.1068319067
335,293055.0030266597
336,292951.09208518156
337,292856.28328407905
338,292766.5700210203
339,292683.8379674984
340,292601.4800307772
341,292517.9970369466
342,292441.490854692
343,292331.01087563013
344,292054.03273267654
345,291769.4830712832
346,291479.64876395627
347,291195.20542188856
348,291093.17088979465
349,290994.7385947704
350,290910.8604925784
351,290835.3540222344
352,290762.95975825377
353,290513.31258138956
354,290423.2265368541
355,290315.8243229086
356,290219.13609194924
357,290122.33131041314
358,290039.6881397262
359,289956.4712728286
360,289875.79798933765
361,289801.6347697034
362,289731.85223579966
363,289661.79667441646
364,289592.57586113125
365,289516.3572274284
366,289429.523606312
367,289351.5565483151
368,289287.80365285097
369,289216.40654060245
370,289124.92783797724
371,289030.65478191554
372,288933.55972527585
373,288834.72237972735
374,288756.89413672534
375,288687.3423721583
376,288603.8843346833
377,288516.4429263233
378,288426.417335278
379,288326.65995578835
380,288224.43755288207
381,288131.1266873922
382,288044.1208293854
383,287952.9659175542
384,287869.8375679578
385,287786.68070335867
386,287707.24471353187
387,287639.3311499014
388,287578.59565417113
389,287501.20672497986
390,287427.65877897077
391,287355.3216992486
392,287295.4217633491
393,287224.5239828388
394,287144.7292887458
395,287043.1377558941
396,286932.93755931535
397,286830.18087900255
398,286743.6986683289
399,286655.82179637667
400,286570.43457378494
401,286466.7359016883
402,286353.04230687174
403,286232.77800955006
404,286133.84978844685
405,286029.86506559135
406,285929.54500536056
407,285826.79718884756
408,285728.9965912582
409,285631.21932340006
410,285534.30992766196
411,285443.9349015596
412,285364.6874897613
413,285291.20245297137
414,285057.1366084119
415,284804.00237960974
416,284540.9404742646
417,284279.831697418
418,284007.67939943157
419,283913.4766401065
420,283675.5916548865
421,283443.2467426677
422,283249.48305628233
423,283013.50323990465
424,282785.03082860116
425,282546.81978733704
426,282319.50182381383
427,282091.3243034721
428,281856.78841603774
429,281623.66148570384
430,281570.88773940504
431,281499.9962223245
432,281429.04399791174
433,281355.80721389665
434,281304.3083912911
435,281248.350126866
436,281199.8504298807
437,281148.90829706175
438,281106.8108713633
439,281048.33528740524
440,280981.51081060123
441,280743.12806236185
442,280505.7552928471
443,280370.32185001293
444,280154.4792215812
445,280104.1623704616
446,280064.88385688793
447,279859.6621413013
448,279662.27087334474
449,279459.34924606135
450,279238.83347128186
451,279012.82761536725
452,278976.4004242736
453,278945.43635932024
454,278905.96958725475
455,278852.2771489254
456,278787.58032751916
457,278727.59640272893
458,278680.529985693
459,278641.5657120802
460,278607.97245625756
461,278564.9069657862
462,278532.6395905415
463,278485.73635229823
464,278429.60172340815
465,278375.09437075607
466,278321.15876547
467,278260.66715632036
468,278214.6715870241
469,278164.3707881838
470,278118.68047819874
471,277916.786688519
472,277728.0953401158
473,277528.2432408597
474,277315.22696480213
475,277116.6179731448
476,276929.50040713965
477,276743.3771026656
478,276705.30935055454
479,276661.4306335976
480,276626.4128425442
481,276596.3938188046
482,276574.4597041164
483,276558.8985171139
484,276543.25368696585
485,276522.00539469376
486,276345.32319763995
487,276167.9373072487
488,275979.2497907194
489,275789.2810211871
490,275608.60079263675
491,275426.88979741954
492,275247.2973013616
493,275060.0654016272
494,274869.7822803299
495,274694.0190411576
496,274530.42611126916
497,274345.96186418494
498,274167.77175999887
499,273970.35227891675
500,273781.0387717428
501,273597.42059625965
502,273567.7032594415
503,273538.96501768177
504,273512.634718884
505,273497.7082000215
506,273480.02163580287
507,273473.8968449088
508,273471.28369405866
509,273465.47905236064
510,273298.44183769875
511,273112.5739112408
512,272925.14794777613
513,272739.1079690305
514,272542.0388895545
515,272361.07845004817
516,272174.1383705393
517,271996.5685086175
518,271816.8642089069
519,271637.77492490085
520,271458.58097490604
521,271278.89678857825
522,271112.85231369344
523,270933.33863577055
524,270761.2813508961
525,270592.5534388175
526,270591.7510449657
527,270583.25662368257
528,270591.53642885824
529,270600.0572907455
530,270611.4260135356
531,270618.9490534806
532,270627.92946574645
533,270633.1713349856
534,270641.11681425123
535,270478.0206957506
536,270321.2095580688
537,270159.70713292796
538,270003.29948734835
539,269833.23985614575
540,269661.24797011574
541,269483.8838387529
542,269312.47522991337
543,269137.5830861238
544,268977.0233188903
545,268799.9833460715
546,268616.29252346547
547,268434.20923983614
548,268433.084298998
549,268432.19607024547
550,268434.57332355756
551,268427.79904518375
552,268417.7532653698
553,268417.4228066222
554,268422.3637763539
555,268424.4892878499
556,268420.36023433035
557,268409.4288627201
558,268393.77744533285
559,268217.9993640821
560,268056.84169932426
561,267898.76469101745
562,267728.6141988898
563,267533.844138365
564,267333.4622006471
565,267142.116865393
566,266943.635201773
567,266751.2635018714
568,266572.4497632966
569,266379.1053642769
570,266179.61142208794
571,265975.7730946915
572,265952.3084078772
573,265911.9575432851
574,265878.5001203374
575,265835.18839303683
576,265804.74059012934
577,265772.615144242
578,265750.0052700074
579,265724.47459662356
580,265694.0197196052
581,265663.1938228787
582,265475.9762868842
583,265263.02732151555
584,265057.4896065382
585,264846.72097086953
586,264619.34134009766
587,264392.2860568719
588,264170.0971753451
589,263954.4979437874
590,263736.29121877585
591,263523.0056620424
592,263312.17295047955
593,263103.0085940717
594,262885.35591989127
595,262650.67393563583
596,262583.3074910855
597,262529.88450937986
598,262479.6175786012
599,262423.146108187
