,stes_hp_direct_qw
197,165.48406184189176
198,165.48406184189176
199,165.48406184189176
200,165.48406184189176
201,165.48406184189176
202,165.48406184189176
203,165.48406184189176
204,165.48406184189176
205,165.48406184189176
206,165.48406184189176
207,165.48406184189176
208,165.48406184189176
209,165.48406184189176
210,165.48406184189176
211,165.48406184189176
212,165.48406184189176
213,165.48406184189176
214,165.48406184189176
215,165.48406184189176
216,165.48406184189176
217,165.48406184189176
218,165.48406184189176
219,165.48406184189176
220,165.48406184189176
221,165.48406184189176
222,165.48406184189176
223,0.0
224,0.0
225,0.0
226,0.0
227,12.606013404905676
228,30.312740314567833
229,165.48406184189176
230,165.48406184189176
231,165.48406184189176
232,165.48406184189176
233,165.48406184189176
234,165.48406184189176
235,165.48406184189176
236,165.48406184189176
237,165.48406184189176
238,165.48406184189176
239,165.48406184189176
240,165.48406184189176
241,165.48406184189176
242,165.48406184189176
243,165.48406184189176
244,165.48406184189176
245,165.48406184189176
246,165.48406184189176
247,165.48406184189176
248,0.0
249,165.48406184189176
250,165.48406184189176
251,165.48406184189176
252,165.48406184189176
253,165.48406184189176
254,165.48406184189176
255,165.48406184189176
256,165.48406184189176
257,165.48406184189176
258,165.48406184189176
259,165.48406184189176
260,165.48406184189176
261,165.48406184189176
262,165.48406184189176
263,165.48406184189176
264,165.48406184189176
265,165.48406184189176
266,165.48406184189176
267,165.48406184189176
268,165.48406184189176
269,165.48406184189176
270,165.48406184189176
271,165.48406184189176
272,165.48406184189176
273,165.48406184189176
274,165.48406184189176
275,165.48406184189176
276,165.48406184189176
277,165.48406184189176
278,165.48406184189176
279,165.48406184189176
280,165.48406184189176
281,165.48406184189176
282,165.48406184189176
283,165.48406184189176
284,165.48406184189176
285,165.48406184189176
286,165.48406184189176
287,165.48406184189176
288,165.48406184189176
289,165.48406184189176
290,165.48406184189176
291,165.48406184189176
292,165.48406184189176
293,165.48406184189176
294,165.48406184189176
295,165.48406184189176
296,165.48406184189176
297,165.48406184189176
