,Price [EUR/MWh]
401,79.42463930995785
402,79.42463795604853
403,79.4246364316359
404,79.42463505350888
405,79.42463299176937
406,79.42463031183293
407,79.42460892122737
408,77.0835645907399
409,77.0835611508207
410,77.08357692577482
411,79.4246032048886
412,79.42462929408697
413,79.42463520965266
414,79.4246378885496
415,79.42463818854881
416,79.42463767119655
417,79.4246376747083
418,79.42463725302906
419,79.4246373598634
420,79.42463750366552
421,79.42463729653728
422,79.42463741002386
423,79.4246381005781
424,79.42463866796922
425,79.42463786708127
426,79.42463716299818
427,79.42463659612126
428,79.42463593368926
429,79.42463514697249
430,79.42463410740221
431,79.42463142141055
432,79.4246264086574
433,79.42462511733721
434,79.42462749796124
435,79.4246305262802
436,79.42463259915652
437,79.42463476892482
438,79.42463669564991
439,79.4246371064582
440,79.42463692471469
441,79.42463718658222
442,79.42463734046035
443,79.42463732012531
444,79.42463923223328
445,79.42476378041253
446,84.71109384481665
447,90.16052746399534
448,90.16056010913098
449,84.71107948614967
450,84.71101048228692
451,79.42464609244121
452,79.42463561706339
453,79.42463518190695
454,79.42463489690641
455,79.42463467402263
456,79.42463444918182
457,79.42463428689334
458,79.42463408566022
459,79.42463331788608
460,79.4246333205776
461,79.42463348687575
462,79.42463451775959
463,79.42463515175103
464,79.42463706641627
465,79.42463922025996
466,79.42463763791118
467,79.42463518805044
468,79.42463490943138
469,79.42463497622931
470,84.71097933247542
471,84.7110055085527
472,84.71101747533207
473,89.46075171954577
474,89.46074972880507
475,85.35269683108467
476,85.35267877758625
477,85.35263541680449
478,84.71099735965642
479,79.42464158582082
480,79.42463522509503
481,79.42463536973482
482,79.42463549879201
483,79.42463548432569
484,79.4246356174632
485,79.42463532739254
486,79.4246354922893
487,79.42463649136229
488,79.42463950513833
489,79.42464850261058
490,84.7108678639618
491,80.38757796186883
492,80.3875703200863
493,80.38756557092472
494,84.71101079400883
495,89.46073279998164
496,90.16054675513688
497,89.46076863568095
498,89.46068330424612
499,89.46062838165152
500,85.35271320837964
501,85.35267369282285
502,79.42463456122417
503,79.42463297450001
504,82.34368077346701
505,82.02264537989632
506,82.02264222197887
507,82.34462733977975
508,82.83146138721101
