,hp_direct_qw
187,161.04927659787708
188,162.46729499893965
189,185.94516418279557
190,185.94516418279557
191,185.94516418279557
192,185.94516418279557
193,185.94516418279557
194,185.94516418279557
195,185.94516418279557
196,185.94516418279557
197,185.94516418279557
198,185.94516418279557
199,185.94516418279557
200,185.94516418279557
201,185.94516418279557
202,185.94516418279557
203,185.94516418279557
204,185.94516418279557
205,185.94516418279557
206,185.94516418279557
207,185.94516418279557
208,185.94516418279557
209,185.94516418279557
210,185.94516418279557
211,168.54938644266983
212,185.94516418279557
213,185.94516418279557
214,185.94516418279557
215,185.94516418279557
216,185.94516418279557
217,185.94516418279557
218,182.96244941408648
219,177.83750517844223
220,177.63318414105302
221,184.6420995335689
222,185.94516418279557
223,185.94516418279557
224,172.9830892214886
225,185.8562499332452
226,185.94516418279557
227,185.94516418279557
228,185.94516418279557
229,185.94516418279557
230,185.94516418279557
231,185.94516418279557
232,185.94516418279557
233,149.38553481379057
234,140.14022348865763
235,146.65786385332103
236,141.8068758775213
237,166.8593294440727
238,178.25280947804953
239,185.94516418279557
240,185.94516418279557
241,185.94516418279557
242,185.94516418279557
243,185.94516418279557
244,185.94516418279557
245,185.94516418279557
246,185.94516418279557
247,185.94516418279557
248,185.94516418279557
249,185.94516418279557
250,185.94516418279557
251,185.94516418279557
252,185.94516418279557
253,185.94516418279557
254,185.94516418279557
255,185.94516418279557
256,185.94516418279557
257,170.00511156635383
258,158.8872930999187
259,185.94516418279557
260,185.94516418279557
261,185.94516418279557
262,185.94516418279557
263,185.94516418279557
264,185.94516418279557
265,185.94516418279557
266,185.94516418279557
267,185.94516418279557
268,185.94516418279557
269,185.94516418279557
270,185.94516418279557
271,185.94516418279557
272,185.94516418279557
273,185.94516418279557
274,185.94516418279557
275,185.94516418279557
276,185.94516418279557
277,185.94516418279557
278,185.94516418279557
279,185.94516418279557
280,185.94516418279557
281,185.94516418279557
282,178.0859050358698
283,179.13335051587185
284,176.24527793361352
285,185.94516418279557
