,stes_discharge_qc
374,39.59591730535797
375,31.477764574755913
376,45.129479914359
377,49.043570243180696
378,51.58471327591755
379,61.140725561690644
380,63.56562948385141
381,54.82562046235561
382,48.64317220330739
383,52.72006821795002
384,44.84794803530539
385,44.88069014081398
386,41.23375071543332
387,29.93008912359332
388,22.88935848384844
389,39.236656129784244
390,35.471511199495104
391,34.28736565337833
392,22.08558611330101
393,32.88239271913303
394,41.61795704257074
395,63.01412730943337
396,71.46855729224639
397,64.16973332173826
398,48.20371027804282
399,49.577391945571414
400,47.13905777467315
401,84.93402233293776
402,102.65159554915343
403,128.8095336975632
404,89.20742044249467
405,77.13893497144575
406,61.830094249133225
407,64.218456088042
408,59.36909317749528
409,59.35179407610481
410,58.50565252275188
411,52.0983122226391
412,41.18274841061469
413,35.532039480775445
414,29.30196873000308
415,48.029238992840135
416,57.78683185269926
417,55.885069263996265
418,66.73821791028223
419,55.94224775701691
420,41.44584554606965
421,33.63384346504625
422,33.91652874743544
423,31.297199783489855
424,23.942872859953226
425,73.79323850212074
426,51.68005771988187
427,54.92003653618877
428,77.40349250877412
429,51.283153550388676
430,15.419892062384802
431,33.203847235224316
432,33.26748288313733
433,35.51362962522903
434,14.183999720330167
435,18.563481182259235
436,11.246781724115037
437,13.646584643799727
438,4.96922879747867
439,21.045302396144972
440,29.242323593066192
441,33.78524831540259
442,32.80768864414041
443,23.458337797498494
444,11.699159031090561
445,13.092751954984548
446,2.26251268193191
447,1.2931839036921857
448,0.0
449,16.162278246798973
450,66.65086708580841
451,79.01834722640096
452,20.8561405977668
453,0.0
454,2.513582314775747
455,16.477031330224797
456,27.27989960216828
457,22.658325038385858
458,9.984405289420492
459,2.0355860027791555
460,0.0
461,6.064707566807839
462,0.0
463,9.835417143776686
464,18.897866965319725
465,17.30405661234571
466,16.746058188368046
467,23.183263006112767
468,8.960187420537359
469,13.188008699348886
470,8.666114136877614
471,0.0
472,0.0
473,24.821376716372523
474,61.31055680141713
475,26.492034328544634
476,0.0
477,0.0
478,8.664829528096673
479,6.97169988366367
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,11.876808847317523
498,0.0
499,58.39911566683223
500,38.65467073555485
501,0.0
502,20.90121776326971
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,10.72287793958162
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,7.7300522743397595
522,0.0
523,5.887924799154865
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,14.345334052818291
572,0.0
573,4.124804158651671
574,0.0
575,7.034843993655905
576,0.0
577,0.0
578,0.0
579,0.0
