,resistive_heating,stes_heating,stes_hp_direct
67,0.0,19.28927571137301,174.44086563501082
68,0.0,39.43270576322616,161.11337200800875
69,0.0,14.31389919579293,185.73079976064705
70,0.0,13.457824294296074,185.94516418279557
71,0.0,16.272827196370798,185.94516418279557
72,0.0,0.0,185.15023264648386
73,0.0,0.0,175.36285132944704
74,0.0,0.0,169.45520580589337
75,0.0,0.0,169.03668516955267
76,0.0,0.0,169.8347627034324
77,0.0,0.0,180.1573288379252
78,0.0,0.0,171.5514531816001
79,0.0,1.0011528472631994,185.94516418279557
80,0.0,14.813074519278018,185.94516418279557
81,0.0,17.584702223733554,185.94516418279557
82,0.0,12.429803850904475,185.94516418279557
83,0.0,19.790224512931218,185.94516418279557
84,0.0,27.623361392566206,185.94516418279557
85,0.0,15.99042165892274,185.94516418279557
86,0.0,8.19332238444349,185.94516418279557
87,0.0,6.560567488083535,185.94516418279557
88,0.0,3.5598863558391542,185.94516418279557
89,0.0,22.09538314808571,177.50379609149215
90,0.0,29.08323506210874,172.52233599916812
91,0.0,33.59216748981585,169.34857134402313
92,0.0,7.854178534292082,182.26898494297583
93,0.0,10.288070647477014,185.94516418279557
94,0.0,7.319303515001309,185.94516418279557
95,0.0,5.145166853668286,185.94516418279557
96,0.0,11.141525259550406,185.94516418279557
97,0.0,4.5425671667118195,185.94516418279557
98,0.0,3.8116168109568203,185.94516418279557
99,0.0,0.0,185.12141656209874
100,0.0,0.0,181.81774668801327
101,0.0,5.780077137032548,185.94516418279557
102,0.0,0.0,181.44177616681614
103,0.0,27.613337914867657,185.94516418279557
104,0.0,27.225214822968663,185.94516418279557
105,0.0,45.53979052669777,185.94516418279557
106,0.0,53.37010640080405,185.94516418279557
107,0.0,46.78843370065814,185.94516418279557
108,0.0,23.833200091132536,185.94516418279557
109,0.0,29.69603463420901,185.94516418279557
110,0.0,23.11865141663762,185.94516418279557
111,0.0,14.63700174081842,185.94516418279557
112,0.0,19.843550085138105,185.94516418279557
113,0.0,35.47924461867476,184.70826180766764
114,0.0,36.884703018738634,185.2416560835727
115,0.0,32.96705998252244,185.94516418279557
116,0.0,48.22413362666727,174.96810163079874
117,0.0,44.370002791007465,185.94516418279557
118,0.0,37.05669948939618,185.94516418279557
119,0.0,53.76870888080319,185.94516418279557
120,0.0,44.105873784250235,185.94516418279557
121,0.0,34.96298494501639,185.94516418279557
122,0.0,33.103695979220326,185.94516418279557
123,0.0,35.38545435731106,185.94516418279557
124,0.0,27.627546878578613,185.94516418279557
125,0.0,41.27451906543834,185.94516418279557
126,0.0,35.269712500872856,185.94516418279557
127,0.0,53.27646117150522,185.94516418279557
128,0.0,51.19229308694687,185.94516418279557
129,0.0,67.78302105748821,185.94516418279557
130,0.0,62.16045388148177,185.94516418279557
131,0.0,71.92723818082867,185.94516418279557
132,0.0,79.02290937956484,185.94516418279557
133,0.0,62.44771900343588,185.94516418279557
134,0.0,66.8047654757693,185.94516418279557
135,0.0,54.822599909974365,185.94516418279557
136,0.0,38.64124964403143,185.94516418279557
137,0.0,46.31823400905026,185.94516418279557
138,0.0,71.36323514301446,170.43253587902316
139,0.0,70.65831631280135,169.51434034188952
140,0.0,33.337834799276436,185.94516418279557
141,0.0,37.85474638528399,185.94516418279557
142,0.0,40.188536804689186,185.94516418279557
143,0.0,36.32816790467936,185.94516418279557
144,0.0,61.55677851397686,185.94516418279557
145,0.0,40.49466065802974,185.94516418279557
146,0.0,16.154259661385055,185.94516418279557
147,0.0,17.64175950626739,185.94516418279557
148,0.0,17.71515644599657,185.94516418279557
149,0.0,21.52904842947362,185.94516418279557
150,0.0,13.579223825942421,185.94516418279557
151,0.0,34.411595606099176,185.94516418279557
152,0.0,161.102875420853,65.85719739025714
153,0.0,40.66220257173799,185.94516418279557
154,0.0,46.02660675392153,185.94516418279557
155,0.0,160.60475915076447,94.41646794095604
156,0.0,160.2965110908998,101.50462231145957
157,0.0,63.14526149564315,185.94516418279557
158,0.0,45.688180771509444,185.94516418279557
159,0.0,38.11224509551465,185.94516418279557
160,0.0,159.67464705723125,67.53869279331619
161,0.0,159.36811871271664,52.62957699957954
162,0.0,159.06215711870777,69.03971454054894
163,0.0,78.94541861546455,151.2184934224348
164,0.0,61.46453898020128,159.64859968080066
165,0.0,50.1631523195612,177.0716588718511
166,0.0,41.432568954563976,185.94516418279557
167,0.0,31.907291767819967,185.94516418279557
168,0.0,38.55841684153404,185.94516418279557
169,0.0,19.726953976091266,185.94516418279557
170,0.0,19.482375933298187,185.94516418279557
171,0.0,10.431767922786007,185.94516418279557
172,0.0,7.070286761121338,185.94516418279557
173,0.0,17.309114215379875,185.94516418279557
174,0.0,4.473220048836879,185.94516418279557
175,0.0,25.19732317502971,185.94516418279557
176,0.0,157.81626318444899,65.58833111764656
177,0.0,157.51317086801612,75.97278459747213
178,0.0,157.2106389491017,79.05474815730997
179,0.0,156.90866639156818,81.36046564838682
180,0.0,156.6072521611933,69.15411495077589
181,0.0,156.3063952256674,79.97608960542726
182,0.0,156.00609455458948,65.13215454284264
183,0.0,155.70634911946354,53.125501884499556
184,0.0,155.40715789369526,53.62653152258261
185,0.0,155.10851985258853,50.37483354331769
186,0.0,154.81043397334167,64.5576304415548
187,0.0,56.39606967577293,161.04927659787708
188,0.0,50.1876397760674,162.46729499893965
189,0.0,24.079059811825655,185.94516418279557
190,0.0,9.7540728708708,185.94516418279557
