,stes_discharge
303,164.94545454545462
304,172.99797979797978
305,176.9757575757575
306,184.05555555555543
307,187.97676767676768
308,181.40707070707057
309,164.56868686868688
310,171.32020202020206
311,188.70808080808072
312,145.2555555555555
313,140.02727272727276
314,122.04646464646463
315,119.99797979797972
316,118.61515151515144
317,118.49999999999996
318,112.97777777777769
319,191.08809181009272
320,204.11050463261506
321,217.60732927071405
322,217.6094286932498
323,222.05791506149265
324,232.19092483568335
325,230.02869762302234
326,220.23265120651166
327,207.96047390861682
328,198.88280592455237
329,205.97045230900585
330,203.59963848413489
331,211.09894945015964
332,215.89802080429445
333,222.35346443418996
334,186.30707070707064
335,189.05858585858581
336,152.94646464646462
337,147.39494949494951
338,139.27070707070703
339,130.18888888888887
340,129.40101010101003
341,122.57575757575759
342,204.37478116148728
343,223.49905747255667
344,231.45399706648868
345,242.34303544810274
346,216.48939447536608
347,202.69980067575867
348,219.3772719738148
349,224.95287349867036
350,225.34336304741146
351,215.7455984477538
352,211.24454128136136
353,219.4933043204087
354,231.54142930775825
355,236.0865723640213
356,228.72781251362238
357,230.63088877653576
358,175.0848484848484
359,152.41313131313123
360,148.61818181818182
361,140.7656565656565
362,129.5949494949495
363,119.83838383838382
364,111.6606060606061
365,118.50202020202018
366,132.4040404040404
367,127.16767676767671
368,112.70227869969423
369,104.5867593461035
370,96.08251124418592
371,72.19111309523235
372,104.09532497114002
373,147.1177682502659
374,179.57967271257522
375,169.47272727272727
376,182.60101010101002
377,194.86464646464648
378,196.5727272727272
379,203.5929292929292
380,220.47777777777785
381,203.5212121212121
382,177.86565656565654
383,173.68383838383832
384,163.06565656565658
385,140.56363636363625
386,134.33131313131315
387,124.57878787878782
388,113.88787878787866
389,120.16060606060599
390,113.94444444444439
391,121.09797979797972
392,119.91789151486351
393,144.25924004236447
394,142.66861529416968
395,154.5417322923976
396,179.75125865646586
397,177.73174262568668
398,188.91919191919186
399,181.17575757575761
400,179.02525252525254
401,203.82020202020198
402,248.2707955907814
403,233.5333333333334
404,230.48989898989902
405,221.9020202020202
406,194.5343434343434
407,190.98989898989905
408,148.11919191919193
409,146.0353535353535
410,143.32222222222225
411,133.90808080808077
412,117.7414141414141
413,124.66060606060599
414,122.84343434343435
415,203.09907245042015
416,212.98435189776114
417,205.59755443885138
418,215.94510403963164
419,208.4288903676302
420,155.2258868245946
421,163.20830549748578
422,162.60000000000002
423,156.4868686868686
424,173.31616161616162
425,177.47878787878793
426,178.29191919191922
427,172.75454545454525
428,169.44343434343418
429,160.06666666666663
430,153.0343434343434
431,137.36565656565662
432,127.51414141414135
433,122.97777777777775
434,106.60202020202017
435,108.88787878787875
436,97.15959595959586
437,103.23838383838383
438,105.02727272727266
439,125.61111111111107
440,138.74969975446353
441,150.64711883024313
442,144.38166706955522
443,131.17406148532464
444,127.73308279888796
445,132.83504334759874
446,127.89696969696966
447,130.48181818181814
448,139.65757575757578
449,156.08888888888887
450,181.38181818181812
451,176.38888888888889
452,149.26666666666657
453,145.69191919191917
454,142.10808080808076
455,132.01414141414133
456,133.17070707070698
457,125.75151515151511
458,99.38989898989898
459,91.46464646464652
460,89.88484848484852
461,94.31111111111107
462,87.1616161616162
463,111.3727272727272
464,133.09175415582354
465,149.97460232308822
466,140.80593533883797
467,139.64349399674367
468,142.20426509344543
469,152.8946393071947
470,127.29797979797978
471,139.8353535353535
472,143.28787878787873
473,156.31212121212124
474,163.1747474747474
475,142.06363636363636
476,132.37171717171717
477,132.84949494949493
478,133.2030303030303
479,133.06262626262625
480,104.81111111111107
481,94.98686868686856
482,73.35757575757577
483,73.74747474747471
484,74.17979797979794
485,73.57474747474744
486,80.36262626262626
487,79.2383838383838
488,121.0191919191919
489,113.67981786423441
490,116.33337310220625
491,117.79649447311932
492,106.50946075015507
493,116.6843533765616
494,117.170707070707
495,112.11616161616155
496,116.95555555555553
497,136.75050505050504
498,138.11717171717163
499,160.46767676767678
500,149.14141414141415
501,128.86060606060593
502,135.74646464646455
503,119.31212121212126
504,98.04242424242415
505,72.5868686868687
506,67.43535353535354
507,62.77070707070704
508,68.2525252525252
509,60.82222222222215
510,65.99494949494948
511,94.65353535353536
512,119.9336832899611
513,116.48911357829384
514,112.82397200536046
515,116.21319096644062
516,95.2742921353335
517,93.49564940820484
518,100.35757575757566
519,105.86969696969697
520,122.2393939393938
521,132.6606060606061
522,126.37575757575755
523,119.06767676767679
524,117.77070707070713
525,110.03131313131313
526,94.79292929292919
527,83.69494949494946
528,57.580808080808055
529,51.35454545454537
530,45.03636363636358
531,55.85454545454543
532,48.45959595959588
533,42.27373737373732
534,39.73636363636364
535,43.19292929292926
536,45.76505607458353
537,54.65933946454687
538,65.77406721056562
539,77.24801758786336
540,76.430435106559
541,86.85515986945103
542,95.94798974019805
543,92.92929292929294
544,97.26363636363632
545,97.67373737373732
546,100.6575757575757
547,107.9252525252525
548,105.93434343434343
549,99.05353535353531
550,83.27777777777769
551,72.79595959595953
552,67.22828282828279
553,51.59898989898985
554,52.697979797979784
555,58.63131313131315
556,48.461616161616185
557,47.25656565656561
558,47.636363636363555
559,45.6565656565656
560,54.71840650758685
561,50.83031695413556
562,64.96866898949487
563,81.75021094410131
564,96.4017154929449
565,98.44761393853001
566,115.76701662329425
567,102.78484848484841
568,109.0141414141413
569,138.04848484848475
570,132.05353535353532
571,131.70303030303032
572,123.92020202020205
573,132.66161616161608
574,129.85151515151517
575,110.2525252525252
576,86.67070707070702
577,84.90606060606056
578,73.95454545454551
579,83.43636363636354
580,78.29797979797975
581,79.0434343434344
582,82.52727272727267
583,166.95552473739002
584,167.83752815648512
585,181.34992066990674
586,197.09334985995113
587,182.04501096296417
588,184.286208374042
589,183.92307775142615
590,189.75750820208336
591,170.48246374317563
592,175.04877794211808
593,169.9069839825785
594,182.97220502909883
595,190.0460740175674
596,176.50303030303033
597,155.73838383838378
598,140.21919191919187
599,115.350505050505
600,99.77373737373732
601,83.01414141414146
602,74.82525252525247
603,74.53333333333326
604,81.06161616161616
605,83.0949494949495
606,84.12929292929287
607,177.22565690408615
608,198.6843952703175
609,187.57566995469708
610,174.430853878919
611,159.3570136784174
612,158.64116236812652
613,193.33995641562822
614,192.81536227073408
615,176.21309650115518
616,185.6237702376655
617,179.1526929976285
618,213.43946792298527
619,198.31052347356848
620,160.92323232323236
621,178.4030303030302
622,169.39191919191927
623,146.1787878787879
624,148.73131313131307
625,120.70707070707063
626,112.41010101010097
627,106.78585858585856
